#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4952269146754 	 -795.7439189734063 	 -0.7513079412691468 	 0.03611071417695955 	 -0.17513284275673868 	 -0.1652790172181213 	 -0.009853825538617383
1 	 C2H2 	 -77.31582168976318 	 -77.23364708420903 	 -0.08217460555415812 	 0.006442350618986889 	 -0.6442036320269433 	 -0.6458922998762915 	 0.00168866784934818
2 	 HBe 	 -15.24345543758926 	 -15.213086658834586 	 -0.030368778754674253 	 0.0061012907640431305 	 -0.09652431765197428 	 -0.08093697552392216 	 -0.015587342128052115
3 	 NO2 	 -205.10173850399877 	 -204.87297985889361 	 -0.22875864510515953 	 0.019623574956411264 	 -0.3810663112402608 	 -0.36339749810529004 	 -0.017668813134970762
4 	 CH4 	 -40.506525919996875 	 -40.46144804424925 	 -0.0450778757476229 	 0.004864745820210942 	 -0.6709303027612268 	 -0.6695182791315805 	 -0.0014120236296463196
5 	 F3P 	 -641.0991764982615 	 -640.4601109820627 	 -0.6390655161987979 	 0.03220620418702722 	 -0.5788344646387031 	 -0.5830966332662726 	 0.0042621686275694515
6 	 CH2 	 -39.13088399532838 	 -39.08309334882895 	 -0.0477906464994291 	 0.009918403020444366 	 -0.29514610367108624 	 -0.28849746875574045 	 -0.006648634915345786
7 	 C2H4O2 	 -229.0764659129552 	 -228.8242969783602 	 -0.2521689345950051 	 0.016635944260974853 	 -1.2703573934880898 	 -1.2540889175521006 	 -0.016268475935989235
8 	 H 	 -0.4999288628049946 	 -0.49981791563041966 	 -0.00011094717457493797 	 0.002424852144850059 	 nan 	 nan 	 nan
9 	 N2O 	 -184.67800546196958 	 -184.47881913926975 	 -0.1991863226998305 	 0.014528567992423382 	 -0.43861018068133717 	 nan 	 nan
10 	 HN2O 	 -185.16248935312478 	 -184.94901512929493 	 -0.2134742238298486 	 0.020719839961172586 	 -0.42316520904735455 	 nan 	 nan
11 	 HO 	 -75.74182849645274 	 -75.6622671033986 	 -0.07956139305413501 	 0.12244345871564051 	 -0.17458326558730136 	 nan 	 nan
12 	 Cl 	 -460.2029360489071 	 -459.75483999758393 	 -0.448096051323148 	 0.16147760412865902 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9471090290883 	 -535.4004261314922 	 -0.5466828975961562 	 0.04895188082603581 	 -0.1769234828721835 	 nan 	 nan
