AE loss	 0 	 2 	 FLi 	 LiF 	 0.00956431056197366
AE loss	 0 	 4 	 H 	 H 	 5.910388187357764e-10
AE loss	 0 	 1 	 N2 	 N2 	 0.0001847668526227528
AE loss	 0 	 3 	 F 	 F 	 1.6157069883205756e-08
AE loss	 0 	 5 	 Li 	 Li 	 5.5155928476504537e-08
AE loss	 0 	 6 	 N 	 N 	 5.615767918218583e-06
AE loss	 0 	 0 	 H2 	 H2 	 2.2842787764348337e-06
AE loss	 1 	 1 	 N2 	 N2 	 0.00018408849778464196
AE loss	 1 	 0 	 H2 	 H2 	 2.4276188179452475e-06
AE loss	 1 	 3 	 F 	 F 	 2.562828976218783e-07
AE loss	 1 	 5 	 Li 	 Li 	 2.9280337066873568e-09
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009544058196839506
AE loss	 1 	 6 	 N 	 N 	 6.340479623939338e-06
AE loss	 1 	 4 	 H 	 H 	 1.1313738797431004e-09
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009491283339755505
AE loss	 2 	 6 	 N 	 N 	 3.396607565953046e-06
AE loss	 2 	 0 	 H2 	 H2 	 2.3560617357464744e-06
AE loss	 2 	 1 	 N2 	 N2 	 0.00017429724519553232
AE loss	 2 	 3 	 F 	 F 	 6.348179752669241e-06
AE loss	 2 	 5 	 Li 	 Li 	 6.315770442279108e-08
AE loss	 2 	 4 	 H 	 H 	 4.3801826067281553e-10
AE loss	 3 	 0 	 H2 	 H2 	 2.2919799804731836e-06
AE loss	 3 	 6 	 N 	 N 	 1.144994224619219e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.00016800300594138376
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009385081276641786
AE loss	 3 	 5 	 Li 	 Li 	 4.6090413341108665e-08
AE loss	 3 	 4 	 H 	 H 	 3.1042479674463673e-10
AE loss	 3 	 3 	 F 	 F 	 1.1861506170850474e-05
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009335631239189306
AE loss	 4 	 6 	 N 	 N 	 6.604305933983573e-07
AE loss	 4 	 1 	 N2 	 N2 	 0.00016300369537010885
AE loss	 4 	 3 	 F 	 F 	 1.2596743947707699e-05
AE loss	 4 	 5 	 Li 	 Li 	 9.20282354064852e-09
AE loss	 4 	 0 	 H2 	 H2 	 2.465927258826174e-06
AE loss	 4 	 4 	 H 	 H 	 9.765320643772682e-10
AE loss	 5 	 3 	 F 	 F 	 9.314774652336363e-06
AE loss	 5 	 0 	 H2 	 H2 	 2.573206334572238e-06
AE loss	 5 	 1 	 N2 	 N2 	 0.00016163357902873512
AE loss	 5 	 5 	 Li 	 Li 	 2.6225029078441836e-08
AE loss	 5 	 6 	 N 	 N 	 3.0417276606072815e-06
AE loss	 5 	 2 	 FLi 	 LiF 	 0.00925124272097963
AE loss	 5 	 4 	 H 	 H 	 2.075847605480815e-09
AE loss	 6 	 3 	 F 	 F 	 3.7998968089543483e-06
AE loss	 6 	 6 	 N 	 N 	 3.7986249909495385e-06
AE loss	 6 	 2 	 FLi 	 LiF 	 0.009212898670163993
AE loss	 6 	 1 	 N2 	 N2 	 0.00015441528435953842
AE loss	 6 	 0 	 H2 	 H2 	 2.896601891328491e-06
AE loss	 6 	 5 	 Li 	 Li 	 1.4017854927786924e-07
AE loss	 6 	 4 	 H 	 H 	 2.7380198100393376e-09
AE loss	 7 	 3 	 F 	 F 	 4.259435613444114e-06
AE loss	 7 	 4 	 H 	 H 	 3.283116378311452e-09
AE loss	 7 	 6 	 N 	 N 	 4.12960518054797e-06
AE loss	 7 	 2 	 FLi 	 LiF 	 0.009148004726454745
AE loss	 7 	 5 	 Li 	 Li 	 2.1600994762601413e-07
AE loss	 7 	 1 	 N2 	 N2 	 0.00014928326798677088
AE loss	 7 	 0 	 H2 	 H2 	 2.9662244766084584e-06
AE loss	 8 	 1 	 N2 	 N2 	 0.00014801608562446195
AE loss	 8 	 6 	 N 	 N 	 3.521766899342832e-06
AE loss	 8 	 3 	 F 	 F 	 5.806348855125178e-06
AE loss	 8 	 4 	 H 	 H 	 3.6599332033721556e-09
AE loss	 8 	 2 	 FLi 	 LiF 	 0.009071131472735028
AE loss	 8 	 0 	 H2 	 H2 	 2.998345720923494e-06
AE loss	 8 	 5 	 Li 	 Li 	 3.1715032445834977e-07
AE loss	 9 	 4 	 H 	 H 	 4.289306539399788e-09
AE loss	 9 	 1 	 N2 	 N2 	 0.00014341580633971178
AE loss	 9 	 2 	 FLi 	 LiF 	 0.009019151762996034
AE loss	 9 	 5 	 Li 	 Li 	 3.6233805008116754e-07
AE loss	 9 	 3 	 F 	 F 	 8.119430030198332e-06
AE loss	 9 	 0 	 H2 	 H2 	 3.081148676859348e-06
AE loss	 9 	 6 	 N 	 N 	 3.1513579421397534e-06
AE loss	 10 	 5 	 Li 	 Li 	 4.4925453242988045e-07
AE loss	 10 	 2 	 FLi 	 LiF 	 0.00895512981249274
AE loss	 10 	 1 	 N2 	 N2 	 0.00013843175224000805
AE loss	 10 	 6 	 N 	 N 	 2.8121648676803297e-06
AE loss	 10 	 0 	 H2 	 H2 	 3.0797543049721947e-06
AE loss	 10 	 4 	 H 	 H 	 4.6035097178345586e-09
AE loss	 10 	 3 	 F 	 F 	 1.1415814023370813e-05
AE loss	 11 	 3 	 F 	 F 	 1.085598686302353e-05
AE loss	 11 	 0 	 H2 	 H2 	 3.1350747694755486e-06
AE loss	 11 	 5 	 Li 	 Li 	 6.630596289622758e-07
AE loss	 11 	 1 	 N2 	 N2 	 0.00013466487713760706
AE loss	 11 	 6 	 N 	 N 	 4.557922334637317e-06
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008882751388781977
AE loss	 11 	 4 	 H 	 H 	 7.205513473975597e-09
AE loss	 12 	 6 	 N 	 N 	 4.981899055999334e-06
AE loss	 12 	 3 	 F 	 F 	 5.73177443804588e-06
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008843001877734177
AE loss	 12 	 5 	 Li 	 Li 	 9.759790577049557e-07
AE loss	 12 	 4 	 H 	 H 	 7.707511036977005e-09
AE loss	 12 	 0 	 H2 	 H2 	 3.3318968251427937e-06
AE loss	 12 	 1 	 N2 	 N2 	 0.000128949128658168
AE loss	 13 	 6 	 N 	 N 	 4.784877134036565e-06
AE loss	 13 	 0 	 H2 	 H2 	 3.3498183339893243e-06
AE loss	 13 	 3 	 F 	 F 	 7.141855663935253e-06
AE loss	 13 	 4 	 H 	 H 	 8.26422172771287e-09
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008768812790272675
AE loss	 13 	 5 	 Li 	 Li 	 1.1878276943587813e-06
AE loss	 13 	 1 	 N2 	 N2 	 0.00012563927086643657
AE loss	 14 	 6 	 N 	 N 	 4.904782103657944e-06
AE loss	 14 	 5 	 Li 	 Li 	 1.2403906806764146e-06
AE loss	 14 	 3 	 F 	 F 	 7.741758276301611e-06
AE loss	 14 	 1 	 N2 	 N2 	 0.000123515882368074
AE loss	 14 	 2 	 FLi 	 LiF 	 0.008711762432477435
AE loss	 14 	 4 	 H 	 H 	 9.843602821720737e-09
AE loss	 14 	 0 	 H2 	 H2 	 3.3886108665888483e-06
AE loss	 15 	 5 	 Li 	 Li 	 1.4420648201323408e-06
AE loss	 15 	 6 	 N 	 N 	 5.067875777285917e-06
AE loss	 15 	 2 	 FLi 	 LiF 	 0.008663106840826967
AE loss	 15 	 3 	 F 	 F 	 8.909722838679553e-06
AE loss	 15 	 0 	 H2 	 H2 	 3.401614438749469e-06
AE loss	 15 	 1 	 N2 	 N2 	 0.00011862858516872748
AE loss	 15 	 4 	 H 	 H 	 1.1629282868297934e-08
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008625350207319145
AE loss	 16 	 1 	 N2 	 N2 	 0.00011715107920798542
AE loss	 16 	 3 	 F 	 F 	 9.443737681956609e-06
AE loss	 16 	 4 	 H 	 H 	 1.2083659549468013e-08
AE loss	 16 	 0 	 H2 	 H2 	 3.5074950814129414e-06
AE loss	 16 	 6 	 N 	 N 	 5.6544298106884895e-06
AE loss	 16 	 5 	 Li 	 Li 	 2.010821066238111e-06
AE loss	 17 	 0 	 H2 	 H2 	 3.5331410537301575e-06
AE loss	 17 	 6 	 N 	 N 	 5.840281735927381e-06
AE loss	 17 	 1 	 N2 	 N2 	 0.00011270299669983805
AE loss	 17 	 3 	 F 	 F 	 8.16043920132953e-06
AE loss	 17 	 4 	 H 	 H 	 1.4328563791294009e-08
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008533126131235533
AE loss	 17 	 5 	 Li 	 Li 	 2.259010597858729e-06
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008506074251612391
AE loss	 18 	 0 	 H2 	 H2 	 3.5648099882680092e-06
AE loss	 18 	 5 	 Li 	 Li 	 2.3252275688069635e-06
AE loss	 18 	 1 	 N2 	 N2 	 0.00011076082759991937
AE loss	 18 	 4 	 H 	 H 	 1.6027541023913036e-08
AE loss	 18 	 6 	 N 	 N 	 5.542684922008667e-06
AE loss	 18 	 3 	 F 	 F 	 1.0104449927837334e-05
AE loss	 19 	 6 	 N 	 N 	 5.391408808649762e-06
AE loss	 19 	 2 	 FLi 	 LiF 	 0.008440907440482879
AE loss	 19 	 0 	 H2 	 H2 	 3.517750146231737e-06
AE loss	 19 	 1 	 N2 	 N2 	 0.00010706847467241288
AE loss	 19 	 3 	 F 	 F 	 1.1628015988155125e-05
AE loss	 19 	 4 	 H 	 H 	 1.7884553086232484e-08
AE loss	 19 	 5 	 Li 	 Li 	 2.6615631760642846e-06
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008390545863676664
AE loss	 20 	 0 	 H2 	 H2 	 3.553692950214688e-06
AE loss	 20 	 3 	 F 	 F 	 9.623951004886402e-06
AE loss	 20 	 1 	 N2 	 N2 	 0.0001025129062192236
AE loss	 20 	 5 	 Li 	 Li 	 3.115819773595756e-06
AE loss	 20 	 4 	 H 	 H 	 2.1996352284898414e-08
AE loss	 20 	 6 	 N 	 N 	 7.99836989976147e-06
