AE loss	 0 	 1 	 N2 	 N2 	 0.00018462681419411414
AE loss	 0 	 2 	 FLi 	 LiF 	 0.00956120726168041
AE loss	 0 	 3 	 CHN 	 CNH 	 0.00963704789739096
AE loss	 0 	 0 	 H2 	 H2 	 2.3192981259702502e-06
AE loss	 0 	 8 	 N 	 N 	 5.625925618630325e-06
AE loss	 0 	 6 	 H 	 H 	 7.402974268104364e-10
AE loss	 0 	 4 	 C 	 C 	 5.029044813364376e-06
AE loss	 0 	 7 	 Li 	 Li 	 5.452503959371321e-08
AE loss	 0 	 5 	 F 	 F 	 1.608041529401395e-08
AE loss	 1 	 4 	 C 	 C 	 5.026984693890028e-06
AE loss	 1 	 8 	 N 	 N 	 2.5176840384254993e-06
AE loss	 1 	 1 	 N2 	 N2 	 0.00018516263234408373
AE loss	 1 	 5 	 F 	 F 	 1.1538538586371001e-05
AE loss	 1 	 7 	 Li 	 Li 	 4.1274208177006175e-07
AE loss	 1 	 2 	 FLi 	 LiF 	 0.0095391892984102
AE loss	 1 	 3 	 CHN 	 CNH 	 0.00964218143571164
AE loss	 1 	 0 	 H2 	 H2 	 1.914091127995232e-06
AE loss	 1 	 6 	 H 	 H 	 1.7748791080571723e-10
AE loss	 2 	 0 	 H2 	 H2 	 1.8353948033956225e-06
AE loss	 2 	 3 	 CHN 	 CNH 	 0.009555384592449704
AE loss	 2 	 6 	 H 	 H 	 2.58329212914977e-10
AE loss	 2 	 8 	 N 	 N 	 2.10306090716156e-06
AE loss	 2 	 4 	 C 	 C 	 2.462511794331624e-06
AE loss	 2 	 7 	 Li 	 Li 	 2.537634991600411e-07
AE loss	 2 	 5 	 F 	 F 	 1.7204032023548505e-06
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009486846446085714
AE loss	 2 	 1 	 N2 	 N2 	 0.0001713641590179984
AE loss	 3 	 0 	 H2 	 H2 	 1.5580861044247959e-06
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009465995267701765
AE loss	 3 	 6 	 H 	 H 	 1.3629406908341217e-09
AE loss	 3 	 8 	 N 	 N 	 3.1815938711313202e-06
AE loss	 3 	 4 	 C 	 C 	 2.9614970177520687e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.00016723996488050076
AE loss	 3 	 3 	 CHN 	 CNH 	 0.009347171970182543
AE loss	 3 	 7 	 Li 	 Li 	 2.489409418911686e-07
AE loss	 3 	 5 	 F 	 F 	 1.739754270434532e-06
AE loss	 4 	 6 	 H 	 H 	 1.8904237542752682e-09
AE loss	 4 	 4 	 C 	 C 	 3.1611174165979665e-06
AE loss	 4 	 5 	 F 	 F 	 1.2043997551052906e-06
AE loss	 4 	 0 	 H2 	 H2 	 1.2859787693261685e-06
AE loss	 4 	 1 	 N2 	 N2 	 0.0001617269545077259
AE loss	 4 	 2 	 FLi 	 LiF 	 0.00937073982291741
AE loss	 4 	 3 	 CHN 	 CNH 	 0.009224467417808118
AE loss	 4 	 8 	 N 	 N 	 4.371881192688131e-06
AE loss	 4 	 7 	 Li 	 Li 	 2.0728705004854472e-07
AE loss	 5 	 6 	 H 	 H 	 4.0164296554679615e-09
AE loss	 5 	 7 	 Li 	 Li 	 2.064719366162652e-07
AE loss	 5 	 1 	 N2 	 N2 	 0.00015681383320455679
AE loss	 5 	 3 	 CHN 	 CNH 	 0.0091360185342744
AE loss	 5 	 4 	 C 	 C 	 4.54094971798923e-06
AE loss	 5 	 2 	 FLi 	 LiF 	 0.0093264536622269
AE loss	 5 	 8 	 N 	 N 	 5.971446264595047e-06
AE loss	 5 	 0 	 H2 	 H2 	 9.562177970085228e-07
AE loss	 5 	 5 	 F 	 F 	 4.318521958326903e-08
AE loss	 6 	 2 	 FLi 	 LiF 	 0.009290431152539434
AE loss	 6 	 1 	 N2 	 N2 	 0.00015105256898124384
AE loss	 6 	 4 	 C 	 C 	 4.511182767945237e-06
AE loss	 6 	 0 	 H2 	 H2 	 8.234102881769609e-07
AE loss	 6 	 7 	 Li 	 Li 	 2.436191809100459e-07
AE loss	 6 	 6 	 H 	 H 	 6.500529419652611e-09
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008966531258096402
AE loss	 6 	 8 	 N 	 N 	 5.144490896278554e-06
AE loss	 6 	 5 	 F 	 F 	 3.0044082001747537e-07
AE loss	 7 	 1 	 N2 	 N2 	 0.00014526939786144882
AE loss	 7 	 6 	 H 	 H 	 8.629696047306879e-09
AE loss	 7 	 3 	 CHN 	 CNH 	 0.008884876909326666
AE loss	 7 	 5 	 F 	 F 	 8.052694057965941e-08
AE loss	 7 	 4 	 C 	 C 	 4.8833371824724046e-06
AE loss	 7 	 2 	 FLi 	 LiF 	 0.00920120545542531
AE loss	 7 	 7 	 Li 	 Li 	 2.701444902435767e-07
AE loss	 7 	 8 	 N 	 N 	 6.830196185156482e-06
AE loss	 7 	 0 	 H2 	 H2 	 5.125578121295835e-07
AE loss	 8 	 6 	 H 	 H 	 1.1640702058787269e-08
AE loss	 8 	 1 	 N2 	 N2 	 0.00013905556325130808
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008753982327521618
AE loss	 8 	 2 	 FLi 	 LiF 	 0.009145322324001818
AE loss	 8 	 0 	 H2 	 H2 	 4.1252592372240024e-07
AE loss	 8 	 5 	 F 	 F 	 5.654776673492467e-09
AE loss	 8 	 7 	 Li 	 Li 	 3.117761091830286e-07
AE loss	 8 	 4 	 C 	 C 	 5.3763071660775124e-06
AE loss	 8 	 8 	 N 	 N 	 7.481237450406753e-06
AE loss	 9 	 6 	 H 	 H 	 1.5037006945606902e-08
AE loss	 9 	 7 	 Li 	 Li 	 3.4660430752667466e-07
AE loss	 9 	 0 	 H2 	 H2 	 2.888786630056518e-07
