AE loss	 0 	 3 	 CHN 	 CNH 	 0.009640616475802668
AE loss	 0 	 1 	 N2 	 N2 	 0.000183294537259906
AE loss	 0 	 10 	 O 	 O 	 2.222407923712494e-06
AE loss	 0 	 5 	 C 	 C 	 5.023368191409827e-06
AE loss	 0 	 6 	 F 	 F 	 1.6858102459305797e-08
AE loss	 0 	 0 	 H2 	 H2 	 2.3116650373947906e-06
AE loss	 0 	 9 	 N 	 N 	 5.619667752177657e-06
AE loss	 0 	 8 	 Li 	 Li 	 5.5224273267872273e-08
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009565639328689032
AE loss	 0 	 4 	 CO2 	 CO2 	 0.018296266198884338
AE loss	 0 	 7 	 H 	 H 	 7.615026630382667e-10
AE loss	 1 	 5 	 C 	 C 	 5.013808188647203e-06
AE loss	 1 	 10 	 O 	 O 	 2.253258630967302e-07
AE loss	 1 	 4 	 CO2 	 CO2 	 0.01836480674726188
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009660207531445255
AE loss	 1 	 7 	 H 	 H 	 9.441928984512789e-11
AE loss	 1 	 1 	 N2 	 N2 	 0.00017961995645396565
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009527618177540687
AE loss	 1 	 8 	 Li 	 Li 	 1.1799736023926912e-07
AE loss	 1 	 9 	 N 	 N 	 2.4639522580716953e-06
AE loss	 1 	 6 	 F 	 F 	 2.905735715620605e-06
AE loss	 1 	 0 	 H2 	 H2 	 2.258527490292125e-06
AE loss	 2 	 7 	 H 	 H 	 5.752948698915876e-10
AE loss	 2 	 5 	 C 	 C 	 3.64053347644175e-06
AE loss	 2 	 10 	 O 	 O 	 3.4498565875057246e-07
AE loss	 2 	 0 	 H2 	 H2 	 2.3413532871412167e-06
AE loss	 2 	 6 	 F 	 F 	 2.043762521880467e-06
AE loss	 2 	 4 	 CO2 	 CO2 	 0.0180065409432296
AE loss	 2 	 3 	 CHN 	 CNH 	 0.00948072959509432
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009466129771652293
AE loss	 2 	 8 	 Li 	 Li 	 8.591333586748247e-10
AE loss	 2 	 1 	 N2 	 N2 	 0.00016718783913379154
AE loss	 2 	 9 	 N 	 N 	 5.967422509265002e-06
AE loss	 3 	 0 	 H2 	 H2 	 2.6285730167646353e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.0001634634385717923
AE loss	 3 	 10 	 O 	 O 	 2.174761795672881e-06
AE loss	 3 	 5 	 C 	 C 	 7.1360785176574535e-06
AE loss	 3 	 9 	 N 	 N 	 7.049028816714149e-06
AE loss	 3 	 3 	 CHN 	 CNH 	 0.009357042703850436
AE loss	 3 	 4 	 CO2 	 CO2 	 0.017730313461747797
AE loss	 3 	 7 	 H 	 H 	 2.5414904407934986e-09
AE loss	 3 	 8 	 Li 	 Li 	 5.819744721665977e-08
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009388082929611298
AE loss	 3 	 6 	 F 	 F 	 1.4691639044315586e-09
AE loss	 4 	 8 	 Li 	 Li 	 1.1128320549050098e-07
AE loss	 4 	 3 	 CHN 	 CNH 	 0.009260130410788969
AE loss	 4 	 5 	 C 	 C 	 1.0252487194575558e-05
AE loss	 4 	 7 	 H 	 H 	 4.4311815036014725e-09
