AE loss	 0 	 7 	 Cl 	 Cl 	 0.00022659914382686013
AE loss	 0 	 6 	 C 	 C 	 1.539018714914428e-05
AE loss	 0 	 10 	 Li 	 Li 	 5.179550311540005e-08
AE loss	 0 	 9 	 H 	 H 	 2.8829927704645185e-09
AE loss	 0 	 5 	 Cl2 	 Cl2 	 0.00045482380309189754
AE loss	 0 	 0 	 H2 	 H2 	 9.547292173496706e-06
AE loss	 1 	 10 	 Li 	 Li 	 5.1280363361533455e-08
AE loss	 1 	 9 	 H 	 H 	 5.183362131654516e-09
AE loss	 1 	 7 	 Cl 	 Cl 	 0.00011380094301345251
AE loss	 1 	 6 	 C 	 C 	 2.612769810140929e-05
AE loss	 1 	 0 	 H2 	 H2 	 1.0769121900878771e-05
AE loss	 1 	 5 	 Cl2 	 Cl2 	 0.00045400648296489265
AE loss	 2 	 5 	 Cl2 	 Cl2 	 0.0004535389761518279
AE loss	 2 	 10 	 Li 	 Li 	 1.663322498393179e-07
AE loss	 2 	 6 	 C 	 C 	 3.628231946340917e-05
AE loss	 2 	 7 	 Cl 	 Cl 	 2.785516433753009e-07
AE loss	 2 	 0 	 H2 	 H2 	 1.1187306663835049e-05
AE loss	 2 	 9 	 H 	 H 	 1.2639193276905625e-08
AE loss	 3 	 0 	 H2 	 H2 	 1.1221902091459533e-05
AE loss	 3 	 9 	 H 	 H 	 1.2477580240917605e-08
AE loss	 3 	 5 	 Cl2 	 Cl2 	 0.0004489016313914099
AE loss	 3 	 7 	 Cl 	 Cl 	 8.005072579425907e-06
AE loss	 3 	 6 	 C 	 C 	 4.055030914132309e-05
AE loss	 3 	 10 	 Li 	 Li 	 2.0158656338642225e-07
AE loss	 4 	 9 	 H 	 H 	 1.2791916187241102e-08
AE loss	 4 	 10 	 Li 	 Li 	 1.4987257263892663e-07
AE loss	 4 	 0 	 H2 	 H2 	 1.0795031872708287e-05
AE loss	 4 	 6 	 C 	 C 	 3.635495789909431e-05
AE loss	 4 	 7 	 Cl 	 Cl 	 1.5486955627032998e-06
AE loss	 4 	 5 	 Cl2 	 Cl2 	 0.0004455748150651733
AE loss	 5 	 7 	 Cl 	 Cl 	 5.5776534960677837e-08
AE loss	 5 	 0 	 H2 	 H2 	 1.0175418771119356e-05
AE loss	 5 	 9 	 H 	 H 	 9.261016942942451e-09
AE loss	 5 	 10 	 Li 	 Li 	 4.0879366597734785e-09
AE loss	 5 	 6 	 C 	 C 	 2.8115827345045705e-05
AE loss	 5 	 5 	 Cl2 	 Cl2 	 0.00044336298644757444
AE loss	 6 	 0 	 H2 	 H2 	 9.633320339866098e-06
AE loss	 6 	 5 	 Cl2 	 Cl2 	 0.0004420534281026488
