AE loss	 0 	 0 	 H2 	 H2 	 2.3144034669232514e-06
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009637426943473814
AE loss	 0 	 7 	 Cl 	 Cl 	 0.00030681565367959054
AE loss	 0 	 10 	 Li 	 Li 	 5.4999056569972394e-08
AE loss	 0 	 8 	 F 	 F 	 1.667580644158424e-08
AE loss	 0 	 9 	 H 	 H 	 8.005251118327694e-10
AE loss	 0 	 5 	 Cl2 	 Cl2 	 4.39907949292847e-06
AE loss	 0 	 12 	 O 	 O 	 2.2241548961430928e-06
AE loss	 0 	 4 	 CO2 	 CO2 	 0.018271477135790457
AE loss	 0 	 1 	 N2 	 N2 	 0.00018244919288064494
AE loss	 0 	 11 	 N 	 N 	 5.627136879078869e-06
AE loss	 0 	 6 	 C 	 C 	 5.01088884298397e-06
AE loss	 0 	 2 	 FLi 	 LiF 	 0.00954281747032728
AE loss	 1 	 10 	 Li 	 Li 	 5.4237763861592285e-08
AE loss	 1 	 5 	 Cl2 	 Cl2 	 4.561509358068255e-06
AE loss	 1 	 4 	 CO2 	 CO2 	 0.018245446114425166
AE loss	 1 	 1 	 N2 	 N2 	 0.00017891940288173466
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009558897592839798
AE loss	 1 	 7 	 Cl 	 Cl 	 0.0001520571303598284
AE loss	 1 	 0 	 H2 	 H2 	 2.920133514248513e-06
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009564420962650063
AE loss	 1 	 8 	 F 	 F 	 1.1435722651059518e-05
AE loss	 1 	 12 	 O 	 O 	 2.1211362356166398e-05
AE loss	 1 	 9 	 H 	 H 	 7.100224324735999e-09
AE loss	 1 	 6 	 C 	 C 	 1.965049884893973e-05
AE loss	 1 	 11 	 N 	 N 	 2.877389996113798e-05
AE loss	 2 	 3 	 CHN 	 CNH 	 0.009478519851234376
AE loss	 2 	 7 	 Cl 	 Cl 	 5.170115945104245e-06
AE loss	 2 	 12 	 O 	 O 	 3.31357111189716e-05
AE loss	 2 	 0 	 H2 	 H2 	 3.205601099098261e-06
AE loss	 2 	 10 	 Li 	 Li 	 5.066160964670548e-07
AE loss	 2 	 9 	 H 	 H 	 1.0239548407422875e-08
AE loss	 2 	 1 	 N2 	 N2 	 0.0001675493815390528
AE loss	 2 	 4 	 CO2 	 CO2 	 0.017836717284868374
AE loss	 2 	 8 	 F 	 F 	 3.9961428323185126e-05
AE loss	 2 	 11 	 N 	 N 	 4.180183283815293e-05
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009516021327584364
AE loss	 2 	 5 	 Cl2 	 Cl2 	 4.909666845842745e-06
AE loss	 2 	 6 	 C 	 C 	 2.9414350218920094e-05
AE loss	 3 	 1 	 N2 	 N2 	 0.0001618071345806479
AE loss	 3 	 6 	 C 	 C 	 2.9676285627853528e-05
AE loss	 3 	 10 	 Li 	 Li 	 8.398319414463287e-07
AE loss	 3 	 4 	 CO2 	 CO2 	 0.017666935846650914
AE loss	 3 	 11 	 N 	 N 	 4.415557204925956e-05
AE loss	 3 	 8 	 F 	 F 	 4.298615001174013e-05
AE loss	 3 	 9 	 H 	 H 	 1.5009113101788682e-08
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009458337340379475
AE loss	 3 	 7 	 Cl 	 Cl 	 2.7545685472958692e-06
AE loss	 3 	 3 	 CHN 	 CNH 	 0.009257568426097762
AE loss	 3 	 12 	 O 	 O 	 4.254209774330109e-05
AE loss	 3 	 5 	 Cl2 	 Cl2 	 5.317942467097388e-06
AE loss	 3 	 0 	 H2 	 H2 	 3.6296001796983412e-06
AE loss	 4 	 11 	 N 	 N 	 4.0704991480710326e-05
AE loss	 4 	 10 	 Li 	 Li 	 1.0145271623171764e-06
AE loss	 4 	 4 	 CO2 	 CO2 	 0.017445958391405746
AE loss	 4 	 7 	 Cl 	 Cl 	 2.9595806243268457e-07
AE loss	 4 	 0 	 H2 	 H2 	 3.6542975420914534e-06
AE loss	 4 	 8 	 F 	 F 	 3.145318498641095e-05
AE loss	 4 	 3 	 CHN 	 CNH 	 0.009175871909995805
AE loss	 4 	 1 	 N2 	 N2 	 0.00014889161512191096
AE loss	 4 	 9 	 H 	 H 	 1.587186856633157e-08
AE loss	 4 	 5 	 Cl2 	 Cl2 	 5.533415919527136e-06
AE loss	 4 	 6 	 C 	 C 	 3.0304806252140215e-05
AE loss	 4 	 12 	 O 	 O 	 3.9014942732954644e-05
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009355633115273421
AE loss	 5 	 7 	 Cl 	 Cl 	 1.0953224756234919e-06
AE loss	 5 	 8 	 F 	 F 	 2.8975995242058657e-05
AE loss	 5 	 11 	 N 	 N 	 3.904771931470261e-05
AE loss	 5 	 10 	 Li 	 Li 	 1.2076460111326407e-06
AE loss	 5 	 5 	 Cl2 	 Cl2 	 5.504333689808268e-06
AE loss	 5 	 1 	 N2 	 N2 	 0.00013992995241813314
AE loss	 5 	 4 	 CO2 	 CO2 	 0.017183494141034567
AE loss	 5 	 0 	 H2 	 H2 	 3.621833908254958e-06
AE loss	 5 	 3 	 CHN 	 CNH 	 0.009059311471972828
AE loss	 5 	 2 	 FLi 	 LiF 	 0.009308838149260111
AE loss	 5 	 6 	 C 	 C 	 2.8313249710508464e-05
AE loss	 5 	 9 	 H 	 H 	 1.616008666933728e-08
AE loss	 5 	 12 	 O 	 O 	 3.269369574628228e-05
AE loss	 6 	 10 	 Li 	 Li 	 1.3883110074680134e-06
AE loss	 6 	 2 	 FLi 	 LiF 	 0.009262931111527055
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008981872302630749
AE loss	 6 	 6 	 C 	 C 	 2.846682603299072e-05
AE loss	 6 	 1 	 N2 	 N2 	 0.00013338549729183458
AE loss	 6 	 5 	 Cl2 	 Cl2 	 5.55892946890652e-06
AE loss	 6 	 0 	 H2 	 H2 	 3.5738557453410143e-06
AE loss	 6 	 7 	 Cl 	 Cl 	 9.212450316217416e-06
