AE loss	 0 	 5 	 Cl2 	 Cl2 	 2.225168192832755e-05
AE loss	 0 	 19 	 O 	 O 	 2.195428012258914e-06
AE loss	 0 	 17 	 N 	 N 	 5.5979358700994934e-06
AE loss	 0 	 14 	 F 	 F 	 4.593258601413421e-09
AE loss	 0 	 15 	 H 	 H 	 6.78520342885112e-10
AE loss	 0 	 18 	 Na 	 Na 	 8.419040799182036e-06
AE loss	 0 	 8 	 CO 	 OC 	 0.0014011097970802774
AE loss	 0 	 10 	 HLi 	 LiH 	 3.431233315621628e-06
AE loss	 0 	 12 	 C 	 C 	 5.014728202529031e-06
AE loss	 0 	 6 	 F2 	 F2 	 5.447857572935934e-07
AE loss	 0 	 11 	 Na2 	 Na2 	 2.676084501255613e-06
AE loss	 0 	 0 	 H2 	 H2 	 2.288704207439059e-06
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009640908045361642
AE loss	 0 	 1 	 N2 	 N2 	 0.00018172164345553384
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009513022244072859
AE loss	 0 	 9 	 HCl 	 ClH 	 7.2040023413048445e-06
AE loss	 0 	 13 	 Cl 	 Cl 	 0.0002625875487412346
AE loss	 0 	 7 	 C2H2 	 C2H2 	 0.000886883463156757
AE loss	 0 	 4 	 CO2 	 CO2 	 0.01827673617782076
AE loss	 1 	 8 	 CO 	 OC 	 0.001401209106190685
AE loss	 1 	 9 	 HCl 	 ClH 	 7.24767381015054e-06
AE loss	 1 	 17 	 N 	 N 	 6.69133447679681e-06
AE loss	 1 	 13 	 Cl 	 Cl 	 0.00027717349477977794
AE loss	 1 	 6 	 F2 	 F2 	 3.533671011874703e-07
AE loss	 1 	 12 	 C 	 C 	 8.955388412476998e-06
AE loss	 1 	 14 	 F 	 F 	 3.64329789310309e-06
AE loss	 1 	 2 	 FLi 	 LiF 	 0.00950210644299068
AE loss	 1 	 0 	 H2 	 H2 	 3.0663081780709598e-06
AE loss	 1 	 1 	 N2 	 N2 	 0.00017621390382277223
AE loss	 1 	 18 	 Na 	 Na 	 2.5058612922474334e-06
AE loss	 1 	 7 	 C2H2 	 C2H2 	 0.0008810658664662446
AE loss	 1 	 15 	 H 	 H 	 4.045634375379053e-09
AE loss	 1 	 5 	 Cl2 	 Cl2 	 2.1342151660994157e-05
AE loss	 1 	 4 	 CO2 	 CO2 	 0.01797730083691788
AE loss	 1 	 11 	 Na2 	 Na2 	 2.8281534334168095e-06
AE loss	 1 	 10 	 HLi 	 LiH 	 4.4633439124201505e-06
AE loss	 1 	 16 	 Li 	 Li 	 4.3845754548610814e-07
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009507965343822953
AE loss	 1 	 19 	 O 	 O 	 2.9163210763410876e-05
AE loss	 2 	 6 	 F2 	 F2 	 1.1561619883786805e-07
AE loss	 2 	 3 	 CHN 	 CNH 	 0.009472826786250048
AE loss	 2 	 2 	 FLi 	 LiF 	 0.00945089250132167
AE loss	 2 	 18 	 Na 	 Na 	 2.504431400359489e-05
AE loss	 2 	 10 	 HLi 	 LiH 	 4.6717971902761565e-06
AE loss	 2 	 8 	 CO 	 OC 	 0.0013512645386426678
AE loss	 2 	 4 	 CO2 	 CO2 	 0.01772026409012292
AE loss	 2 	 0 	 H2 	 H2 	 3.769939321920181e-06
AE loss	 2 	 9 	 HCl 	 ClH 	 4.862349705168633e-06
AE loss	 2 	 5 	 Cl2 	 Cl2 	 2.183106368409136e-05
AE loss	 2 	 13 	 Cl 	 Cl 	 3.84755324079841e-06
AE loss	 2 	 11 	 Na2 	 Na2 	 2.933181434235346e-06
AE loss	 2 	 1 	 N2 	 N2 	 0.00015660170246076805
AE loss	 2 	 7 	 C2H2 	 C2H2 	 0.0008453454355254394
AE loss	 2 	 12 	 C 	 C 	 3.211413732545237e-05
AE loss	 2 	 15 	 H 	 H 	 1.2879235460506352e-08
AE loss	 2 	 16 	 Li 	 Li 	 1.3426505801860086e-06
AE loss	 2 	 19 	 O 	 O 	 4.5014413114383285e-05
AE loss	 2 	 14 	 F 	 F 	 4.132142367602198e-05
AE loss	 2 	 17 	 N 	 N 	 4.303928994875429e-05
AE loss	 3 	 14 	 F 	 F 	 3.726299827732465e-05
AE loss	 3 	 3 	 CHN 	 CNH 	 0.009268256533083592
AE loss	 3 	 19 	 O 	 O 	 3.718245588204618e-05
AE loss	 3 	 11 	 Na2 	 Na2 	 2.887890630262213e-06
AE loss	 3 	 15 	 H 	 H 	 1.0658897762233005e-08
AE loss	 3 	 4 	 CO2 	 CO2 	 0.017414677012872103
AE loss	 3 	 8 	 CO 	 OC 	 0.0013136922192095355
AE loss	 3 	 9 	 HCl 	 ClH 	 4.824251159934326e-06
AE loss	 3 	 0 	 H2 	 H2 	 3.916536272836087e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.00014423153430533032
AE loss	 3 	 7 	 C2H2 	 C2H2 	 0.0008049210246810603
AE loss	 3 	 10 	 HLi 	 LiH 	 4.783468531382416e-06
AE loss	 3 	 16 	 Li 	 Li 	 1.2213385487494193e-06
AE loss	 3 	 13 	 Cl 	 Cl 	 2.8676151360753988e-06
AE loss	 3 	 18 	 Na 	 Na 	 1.7149167313189546e-05
AE loss	 3 	 12 	 C 	 C 	 2.8077448748482996e-05
AE loss	 3 	 6 	 F2 	 F2 	 5.237490571939707e-08
AE loss	 3 	 5 	 Cl2 	 Cl2 	 2.2777011452950793e-05
AE loss	 3 	 17 	 N 	 N 	 3.5515439059340434e-05
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009292010796531984
AE loss	 4 	 12 	 C 	 C 	 2.6740611077375375e-05
AE loss	 4 	 16 	 Li 	 Li 	 1.2354261636499534e-06
AE loss	 4 	 7 	 C2H2 	 C2H2 	 0.0007816742037995382
AE loss	 4 	 11 	 Na2 	 Na2 	 2.8801157182333265e-06
AE loss	 4 	 17 	 N 	 N 	 3.093369779268966e-05
AE loss	 4 	 3 	 CHN 	 CNH 	 0.009115081831431776
AE loss	 4 	 10 	 HLi 	 LiH 	 4.602938442521957e-06
AE loss	 4 	 13 	 Cl 	 Cl 	 1.858580810574697e-05
AE loss	 4 	 4 	 CO2 	 CO2 	 0.01712792890788043
AE loss	 4 	 6 	 F2 	 F2 	 1.0576916900500671e-07
AE loss	 4 	 9 	 HCl 	 ClH 	 4.739726335351976e-06
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009238580691363855
AE loss	 4 	 1 	 N2 	 N2 	 0.00013104419427670814
AE loss	 4 	 19 	 O 	 O 	 3.31724026215326e-05
AE loss	 4 	 5 	 Cl2 	 Cl2 	 2.2465046246562534e-05
AE loss	 4 	 14 	 F 	 F 	 2.723625564065303e-05
AE loss	 4 	 18 	 Na 	 Na 	 1.8210728435532363e-05
AE loss	 4 	 15 	 H 	 H 	 1.539350602572201e-08
AE loss	 4 	 8 	 CO 	 OC 	 0.0012615187059815903
AE loss	 4 	 0 	 H2 	 H2 	 4.1113578208179535e-06
AE loss	 5 	 16 	 Li 	 Li 	 1.699356950470874e-06
AE loss	 5 	 0 	 H2 	 H2 	 4.15656302662827e-06
AE loss	 5 	 17 	 N 	 N 	 3.6142652800754656e-05
AE loss	 5 	 14 	 F 	 F 	 2.130022324348348e-05
AE loss	 5 	 7 	 C2H2 	 C2H2 	 0.0007451836747173299
AE loss	 5 	 5 	 Cl2 	 Cl2 	 2.2283266091311457e-05
AE loss	 5 	 13 	 Cl 	 Cl 	 1.3774648793819034e-05
AE loss	 5 	 12 	 C 	 C 	 2.6654242615661372e-05
AE loss	 5 	 3 	 CHN 	 CNH 	 0.008965537324913044
AE loss	 5 	 18 	 Na 	 Na 	 8.21453239184641e-06
AE loss	 5 	 15 	 H 	 H 	 1.4774104108760803e-08
AE loss	 5 	 6 	 F2 	 F2 	 3.1397302363371146e-07
AE loss	 5 	 11 	 Na2 	 Na2 	 2.7708053715199007e-06
AE loss	 5 	 9 	 HCl 	 ClH 	 4.5009056109025096e-06
AE loss	 5 	 10 	 HLi 	 LiH 	 4.379856373184248e-06
AE loss	 5 	 4 	 CO2 	 CO2 	 0.016807210613181935
AE loss	 5 	 2 	 FLi 	 LiF 	 0.009142742286606994
AE loss	 5 	 1 	 N2 	 N2 	 0.00011943974214448444
AE loss	 5 	 19 	 O 	 O 	 2.9681864838808585e-05
AE loss	 5 	 8 	 CO 	 OC 	 0.0012373981769256835
AE loss	 6 	 17 	 N 	 N 	 3.690011043726181e-05
AE loss	 6 	 4 	 CO2 	 CO2 	 0.016666583911472018
AE loss	 6 	 8 	 CO 	 OC 	 0.0012289914753971663
AE loss	 6 	 15 	 H 	 H 	 1.8572603875089487e-08
AE loss	 6 	 16 	 Li 	 Li 	 2.397196244039875e-06
AE loss	 6 	 19 	 O 	 O 	 3.388221097484814e-05
AE loss	 6 	 2 	 FLi 	 LiF 	 0.009068653843480191
AE loss	 6 	 12 	 C 	 C 	 3.4477442320665245e-05
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008801418868710857
AE loss	 6 	 10 	 HLi 	 LiH 	 5.024176216949628e-06
AE loss	 6 	 11 	 Na2 	 Na2 	 2.9371652481443456e-06
AE loss	 6 	 14 	 F 	 F 	 2.406725672173801e-05
AE loss	 6 	 1 	 N2 	 N2 	 0.00010919840673003665
AE loss	 6 	 7 	 C2H2 	 C2H2 	 0.0006860410616693553
AE loss	 6 	 9 	 HCl 	 ClH 	 4.275523070908167e-06
AE loss	 6 	 5 	 Cl2 	 Cl2 	 2.3266852373099102e-05
AE loss	 6 	 18 	 Na 	 Na 	 1.1035325010160444e-05
AE loss	 6 	 6 	 F2 	 F2 	 1.0283155313348642e-06
AE loss	 6 	 0 	 H2 	 H2 	 4.570865877276971e-06
AE loss	 6 	 13 	 Cl 	 Cl 	 1.0133949763118388e-05
AE loss	 7 	 11 	 Na2 	 Na2 	 2.8801818711203138e-06
AE loss	 7 	 10 	 HLi 	 LiH 	 4.882693734670824e-06
AE loss	 7 	 16 	 Li 	 Li 	 3.020875901856423e-06
AE loss	 7 	 13 	 Cl 	 Cl 	 4.773722649055927e-06
AE loss	 7 	 19 	 O 	 O 	 3.37699110723318e-05
AE loss	 7 	 9 	 HCl 	 ClH 	 4.119014385101775e-06
AE loss	 7 	 15 	 H 	 H 	 2.502887018688926e-08
AE loss	 7 	 18 	 Na 	 Na 	 1.5115372846540795e-05
AE loss	 7 	 1 	 N2 	 N2 	 0.00010178947225228238
AE loss	 7 	 2 	 FLi 	 LiF 	 0.008973876543369421
AE loss	 7 	 5 	 Cl2 	 Cl2 	 2.2430971205521025e-05
AE loss	 7 	 6 	 F2 	 F2 	 1.1980066913289453e-06
AE loss	 7 	 0 	 H2 	 H2 	 4.412768884899737e-06
AE loss	 7 	 4 	 CO2 	 CO2 	 0.016243538833674652
AE loss	 7 	 14 	 F 	 F 	 2.3409363639088763e-05
AE loss	 7 	 17 	 N 	 N 	 4.32991614082243e-05
AE loss	 7 	 3 	 CHN 	 CNH 	 0.008636620019184194
AE loss	 7 	 8 	 CO 	 OC 	 0.001176763385141602
AE loss	 7 	 12 	 C 	 C 	 3.792076058001053e-05
AE loss	 7 	 7 	 C2H2 	 C2H2 	 0.0006470260967267963
AE loss	 8 	 17 	 N 	 N 	 4.440140048569537e-05
