AE loss	 0 	 13 	 NO2 	 NO2 	 0.00018987207551898598
AE loss	 0 	 12 	 NO 	 NO 	 8.707758073724603e-06
AE loss	 0 	 5 	 Cl2 	 Cl2 	 2.2197173183538634e-05
AE loss	 0 	 14 	 HN 	 NH 	 1.1541717313126842e-05
AE loss	 0 	 28 	 Na 	 Na 	 8.420299284391373e-06
AE loss	 0 	 23 	 Cl 	 Cl 	 0.00026266692149930963
AE loss	 0 	 4 	 CO2 	 CO2 	 0.01827360683651613
AE loss	 0 	 16 	 N2O 	 N2O 	 6.832867296621479e-06
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009508575561468596
AE loss	 0 	 8 	 CO 	 OC 	 0.0014008510170865323
AE loss	 0 	 1 	 N2 	 N2 	 0.00018238340181191934
AE loss	 0 	 27 	 N 	 N 	 5.608921921375586e-06
AE loss	 0 	 26 	 Li 	 Li 	 5.4211615511955265e-08
AE loss	 0 	 25 	 H 	 H 	 6.177816567963233e-10
AE loss	 0 	 18 	 CH2 	 CH2 	 0.00010438751047179172
AE loss	 0 	 29 	 O 	 O 	 2.1820828507701267e-06
AE loss	 0 	 11 	 Na2 	 Na2 	 2.683863866479014e-06
AE loss	 0 	 21 	 HO 	 OH 	 2.169594388847112e-06
AE loss	 0 	 20 	 H3N 	 NH3 	 2.3645748779490534e-05
AE loss	 0 	 19 	 H2O 	 OH2 	 3.0593605679019624e-05
AE loss	 0 	 15 	 O3 	 O3 	 4.3568748706750855e-06
AE loss	 0 	 6 	 F2 	 F2 	 5.558758809941218e-07
AE loss	 0 	 10 	 HLi 	 LiH 	 3.426352063462153e-06
AE loss	 0 	 24 	 F 	 F 	 5.033239333584849e-09
AE loss	 0 	 9 	 HCl 	 ClH 	 7.179460902296259e-06
AE loss	 0 	 22 	 C 	 C 	 4.989844074401886e-06
AE loss	 0 	 7 	 C2H2 	 C2H2 	 0.0008873415052899101
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009636701269030172
AE loss	 0 	 0 	 H2 	 H2 	 2.3139898192324612e-06
AE loss	 0 	 17 	 CH3 	 CH3 	 6.262720171162831e-05
AE loss	 1 	 17 	 CH3 	 CH3 	 6.258534975140823e-05
AE loss	 1 	 10 	 HLi 	 LiH 	 3.64856370015673e-06
AE loss	 1 	 19 	 H2O 	 OH2 	 3.513307168831372e-05
AE loss	 1 	 20 	 H3N 	 NH3 	 2.982599136456903e-05
AE loss	 1 	 14 	 HN 	 NH 	 1.046578513738141e-05
AE loss	 1 	 9 	 HCl 	 ClH 	 6.512475764532684e-06
AE loss	 1 	 23 	 Cl 	 Cl 	 2.9337690870854785e-05
AE loss	 1 	 15 	 O3 	 O3 	 6.918239910696182e-06
AE loss	 1 	 22 	 C 	 C 	 1.9663563974135175e-05
AE loss	 1 	 6 	 F2 	 F2 	 3.571954811241848e-07
AE loss	 1 	 28 	 Na 	 Na 	 3.111596716999335e-05
AE loss	 1 	 24 	 F 	 F 	 3.475333301039959e-05
AE loss	 1 	 27 	 N 	 N 	 3.1791738872407364e-05
AE loss	 1 	 4 	 CO2 	 CO2 	 0.0181681073702378
AE loss	 1 	 11 	 Na2 	 Na2 	 2.7627661914645886e-06
AE loss	 1 	 26 	 Li 	 Li 	 2.795008208419848e-07
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009549874976357706
AE loss	 1 	 8 	 CO 	 OC 	 0.0013898657519134702
AE loss	 1 	 5 	 Cl2 	 Cl2 	 2.081429770319375e-05
AE loss	 1 	 16 	 N2O 	 N2O 	 1.4284953272453465e-05
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009528288596671649
AE loss	 1 	 12 	 NO 	 NO 	 6.967255648491134e-06
AE loss	 1 	 18 	 CH2 	 CH2 	 9.446929074302574e-05
AE loss	 1 	 21 	 HO 	 OH 	 1.5421102222418061e-06
AE loss	 1 	 29 	 O 	 O 	 3.461747540442653e-05
AE loss	 1 	 1 	 N2 	 N2 	 0.00016896050043752492
AE loss	 1 	 13 	 NO2 	 NO2 	 0.00023931469447137577
AE loss	 1 	 25 	 H 	 H 	 1.0839090378342361e-08
AE loss	 1 	 0 	 H2 	 H2 	 3.228306061837553e-06
AE loss	 1 	 7 	 C2H2 	 C2H2 	 0.0008708656644644298
AE loss	 2 	 27 	 N 	 N 	 3.451866813521075e-05
AE loss	 2 	 20 	 H3N 	 NH3 	 3.098368779790912e-05
AE loss	 2 	 19 	 H2O 	 OH2 	 3.7422171465114685e-05
AE loss	 2 	 10 	 HLi 	 LiH 	 4.090833528223262e-06
AE loss	 2 	 15 	 O3 	 O3 	 1.9452371731271947e-05
AE loss	 2 	 6 	 F2 	 F2 	 7.96640865948734e-08
AE loss	 2 	 29 	 O 	 O 	 3.081240102198497e-05
AE loss	 2 	 0 	 H2 	 H2 	 3.0463230590105276e-06
AE loss	 2 	 3 	 CHN 	 CNH 	 0.009373204703498556
AE loss	 2 	 12 	 NO 	 NO 	 5.852188085430434e-06
AE loss	 2 	 4 	 CO2 	 CO2 	 0.017758908240503957
AE loss	 2 	 13 	 NO2 	 NO2 	 0.0002656342433526782
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009422055495743759
AE loss	 2 	 25 	 H 	 H 	 1.3188910716080682e-08
AE loss	 2 	 22 	 C 	 C 	 2.425091958551454e-05
AE loss	 2 	 9 	 HCl 	 ClH 	 4.889597678090382e-06
AE loss	 2 	 18 	 CH2 	 CH2 	 0.00010033620578587907
AE loss	 2 	 5 	 Cl2 	 Cl2 	 2.020805243215536e-05
AE loss	 2 	 8 	 CO 	 OC 	 0.0013322480380685085
AE loss	 2 	 24 	 F 	 F 	 3.1029514122465714e-05
AE loss	 2 	 1 	 N2 	 N2 	 0.00015269229105785022
AE loss	 2 	 21 	 HO 	 OH 	 1.8890060756157419e-06
AE loss	 2 	 17 	 CH3 	 CH3 	 5.6134968539426566e-05
AE loss	 2 	 7 	 C2H2 	 C2H2 	 0.0008187139551624874
AE loss	 2 	 28 	 Na 	 Na 	 2.1413754251288816e-05
AE loss	 2 	 14 	 HN 	 NH 	 1.2468323544448665e-05
AE loss	 2 	 16 	 N2O 	 N2O 	 5.130291100559436e-05
AE loss	 2 	 23 	 Cl 	 Cl 	 2.8061444630497523e-06
AE loss	 2 	 26 	 Li 	 Li 	 7.70955339319594e-07
AE loss	 2 	 11 	 Na2 	 Na2 	 2.674715292313425e-06
AE loss	 3 	 11 	 Na2 	 Na2 	 2.6587062815611744e-06
AE loss	 3 	 24 	 F 	 F 	 1.9780806941956106e-05
AE loss	 3 	 6 	 F2 	 F2 	 5.693956135930845e-09
AE loss	 3 	 20 	 H3N 	 NH3 	 1.9935548759918614e-05
AE loss	 3 	 29 	 O 	 O 	 2.3455286707476508e-05
AE loss	 3 	 13 	 NO2 	 NO2 	 0.0003300144667851475
AE loss	 3 	 21 	 HO 	 OH 	 2.300638424603102e-06
AE loss	 3 	 4 	 CO2 	 CO2 	 0.01738669949087599
AE loss	 3 	 19 	 H2O 	 OH2 	 2.5410425832474567e-05
AE loss	 3 	 3 	 CHN 	 CNH 	 0.00916017059933592
AE loss	 3 	 14 	 HN 	 NH 	 1.345352268701103e-05
AE loss	 3 	 17 	 CH3 	 CH3 	 6.336994331834411e-05
AE loss	 3 	 18 	 CH2 	 CH2 	 0.00010885748298612961
AE loss	 3 	 5 	 Cl2 	 Cl2 	 1.9547748540698712e-05
AE loss	 3 	 15 	 O3 	 O3 	 5.548289933843915e-05
AE loss	 3 	 26 	 Li 	 Li 	 1.1361348092565629e-06
AE loss	 3 	 28 	 Na 	 Na 	 1.636109480843611e-05
AE loss	 3 	 9 	 HCl 	 ClH 	 4.3625483238963694e-06
AE loss	 3 	 22 	 C 	 C 	 2.5696002182651523e-05
AE loss	 3 	 10 	 HLi 	 LiH 	 4.222838166524043e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.0001347015258454937
AE loss	 3 	 23 	 Cl 	 Cl 	 2.3819884218038297e-06
AE loss	 3 	 12 	 NO 	 NO 	 2.44742257439672e-06
AE loss	 3 	 7 	 C2H2 	 C2H2 	 0.0007668282396275729
AE loss	 3 	 27 	 N 	 N 	 3.3417263814377166e-05
AE loss	 3 	 16 	 N2O 	 N2O 	 8.641628247245758e-05
AE loss	 3 	 0 	 H2 	 H2 	 3.4648226017051892e-06
AE loss	 3 	 8 	 CO 	 OC 	 0.0012773632444919142
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009239557888123431
AE loss	 3 	 25 	 H 	 H 	 1.7557449104473286e-08
AE loss	 4 	 27 	 N 	 N 	 3.0788383049414023e-05
AE loss	 4 	 0 	 H2 	 H2 	 3.387406962531337e-06
AE loss	 4 	 10 	 HLi 	 LiH 	 4.054558972339984e-06
AE loss	 4 	 3 	 CHN 	 CNH 	 0.008991641177643154
AE loss	 4 	 11 	 Na2 	 Na2 	 2.627158639069408e-06
AE loss	 4 	 15 	 O3 	 O3 	 7.145436986172885e-05
AE loss	 4 	 23 	 Cl 	 Cl 	 6.613816925485584e-06
AE loss	 4 	 26 	 Li 	 Li 	 1.1480022389913988e-06
AE loss	 4 	 20 	 H3N 	 NH3 	 1.426105350830638e-05
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009198151697090111
AE loss	 4 	 18 	 CH2 	 CH2 	 0.00011510106361560865
AE loss	 4 	 14 	 HN 	 NH 	 1.5232540858208047e-05
AE loss	 4 	 8 	 CO 	 OC 	 0.0012613721524312495
AE loss	 4 	 1 	 N2 	 N2 	 0.00012400048640014502
AE loss	 4 	 22 	 C 	 C 	 2.7333399194310238e-05
AE loss	 4 	 19 	 H2O 	 OH2 	 2.1813300037500236e-05
AE loss	 4 	 29 	 O 	 O 	 3.0981294630458465e-05
AE loss	 4 	 24 	 F 	 F 	 2.3846833904633858e-05
AE loss	 4 	 13 	 NO2 	 NO2 	 0.0004210246053645364
AE loss	 4 	 6 	 F2 	 F2 	 2.952465084054033e-07
AE loss	 4 	 21 	 HO 	 OH 	 2.681026748871636e-06
AE loss	 4 	 5 	 Cl2 	 Cl2 	 1.7532012242993526e-05
AE loss	 4 	 12 	 NO 	 NO 	 1.803330169161221e-06
AE loss	 4 	 16 	 N2O 	 N2O 	 0.00011137402089067227
AE loss	 4 	 7 	 C2H2 	 C2H2 	 0.0007155840629648347
AE loss	 4 	 25 	 H 	 H 	 2.099726783196732e-08
AE loss	 4 	 28 	 Na 	 Na 	 8.580406641919889e-06
AE loss	 4 	 4 	 CO2 	 CO2 	 0.01688091345907827
AE loss	 4 	 17 	 CH3 	 CH3 	 7.81928177218105e-05
AE loss	 4 	 9 	 HCl 	 ClH 	 4.044899180282661e-06
AE loss	 5 	 1 	 N2 	 N2 	 0.00011856416458210805
AE loss	 5 	 10 	 HLi 	 LiH 	 3.6042795803208912e-06
AE loss	 5 	 27 	 N 	 N 	 2.8294049383342105e-05
AE loss	 5 	 20 	 H3N 	 NH3 	 9.223598310616183e-06
AE loss	 5 	 6 	 F2 	 F2 	 5.014781231049672e-07
AE loss	 5 	 19 	 H2O 	 OH2 	 1.5836196031197272e-05
AE loss	 5 	 25 	 H 	 H 	 2.1732730452870152e-08
AE loss	 5 	 21 	 HO 	 OH 	 3.111795821934632e-06
AE loss	 5 	 0 	 H2 	 H2 	 3.280464409504846e-06
AE loss	 5 	 16 	 N2O 	 N2O 	 0.0001471311726646738
AE loss	 5 	 11 	 Na2 	 Na2 	 2.5303325328277566e-06
AE loss	 5 	 3 	 CHN 	 CNH 	 0.008792866023874813
AE loss	 5 	 4 	 CO2 	 CO2 	 0.0166083232423869
AE loss	 5 	 18 	 CH2 	 CH2 	 0.00012437435892189498
AE loss	 5 	 13 	 NO2 	 NO2 	 0.0005088570262530151
AE loss	 5 	 23 	 Cl 	 Cl 	 1.0499485028237242e-06
AE loss	 5 	 28 	 Na 	 Na 	 1.5696007778335525e-05
AE loss	 5 	 9 	 HCl 	 ClH 	 3.531705349464247e-06
AE loss	 5 	 26 	 Li 	 Li 	 2.6396678926446013e-06
AE loss	 5 	 22 	 C 	 C 	 3.437603210279936e-05
AE loss	 5 	 15 	 O3 	 O3 	 0.00013264985526511221
AE loss	 5 	 12 	 NO 	 NO 	 3.757393199503113e-07
AE loss	 5 	 24 	 F 	 F 	 2.7155112353287406e-05
AE loss	 5 	 14 	 HN 	 NH 	 1.692944088728071e-05
AE loss	 5 	 2 	 FLi 	 LiF 	 0.00900718341162899
AE loss	 5 	 29 	 O 	 O 	 3.3231123425337334e-05
AE loss	 5 	 8 	 CO 	 OC 	 0.0011951376193067391
AE loss	 5 	 7 	 C2H2 	 C2H2 	 0.0006625789048941744
AE loss	 5 	 17 	 CH3 	 CH3 	 7.936490058635407e-05
AE loss	 5 	 5 	 Cl2 	 Cl2 	 1.807803675505436e-05
AE loss	 6 	 5 	 Cl2 	 Cl2 	 1.8021332326645822e-05
AE loss	 6 	 1 	 N2 	 N2 	 9.938763820530332e-05
AE loss	 6 	 29 	 O 	 O 	 2.2542545367856447e-05
AE loss	 6 	 4 	 CO2 	 CO2 	 0.016262448708032708
AE loss	 6 	 7 	 C2H2 	 C2H2 	 0.0006472791325841569
AE loss	 6 	 12 	 NO 	 NO 	 9.716773092187064e-08
AE loss	 6 	 19 	 H2O 	 OH2 	 1.0930288153137287e-05
AE loss	 6 	 24 	 F 	 F 	 9.378415753781361e-06
AE loss	 6 	 25 	 H 	 H 	 2.7667379640943568e-08
AE loss	 6 	 9 	 HCl 	 ClH 	 3.631952044050692e-06
AE loss	 6 	 26 	 Li 	 Li 	 3.0352057327248868e-06
AE loss	 6 	 22 	 C 	 C 	 2.8174270661029882e-05
AE loss	 6 	 16 	 N2O 	 N2O 	 0.0002463043356715157
AE loss	 6 	 8 	 CO 	 OC 	 0.001159719721977856
AE loss	 6 	 27 	 N 	 N 	 2.7475394339472843e-05
AE loss	 6 	 11 	 Na2 	 Na2 	 2.752195760233767e-06
AE loss	 6 	 21 	 HO 	 OH 	 3.995631644417058e-06
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008584058619845162
