AE loss	 0 	 18 	 CH3 	 CH3 	 6.261422283944645e-05
AE loss	 0 	 11 	 HLi 	 LiH 	 3.394498853255141e-06
AE loss	 0 	 4 	 CO2 	 CO2 	 0.018273572685772826
AE loss	 0 	 21 	 H3N 	 NH3 	 2.3875188034343627e-05
AE loss	 0 	 15 	 HN 	 NH 	 1.150144092269178e-05
AE loss	 0 	 8 	 C2H2 	 C2H2 	 0.0008882944618909948
AE loss	 0 	 24 	 C 	 C 	 4.9955081520621915e-06
AE loss	 0 	 30 	 Na 	 Na 	 8.418999908397866e-06
AE loss	 0 	 20 	 H2O 	 OH2 	 3.046825646612951e-05
AE loss	 0 	 6 	 F2 	 F2 	 5.369966247997553e-07
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009509936043348485
AE loss	 0 	 25 	 Cl 	 Cl 	 0.0002626284887428363
AE loss	 0 	 0 	 H2 	 H2 	 2.286080729280828e-06
AE loss	 0 	 12 	 Na2 	 Na2 	 2.68322356026776e-06
AE loss	 0 	 28 	 Li 	 Li 	 5.4823921010445325e-08
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009636334107920561
AE loss	 0 	 26 	 F 	 F 	 4.627920271484419e-09
AE loss	 0 	 36 	 C 	 C 	 6.017776198013759e-05
AE loss	 0 	 16 	 O3 	 O3 	 4.398352621512947e-06
AE loss	 0 	 13 	 NO 	 NO 	 8.653534730396926e-06
AE loss	 0 	 27 	 H 	 H 	 6.190989420236503e-10
AE loss	 0 	 1 	 N2 	 N2 	 0.00018291503186421018
AE loss	 0 	 17 	 N2O 	 N2O 	 6.896145982320832e-06
AE loss	 0 	 19 	 CH2 	 CH2 	 0.00010434365331722545
AE loss	 0 	 31 	 O 	 O 	 2.1785776376995855e-06
AE loss	 0 	 23 	 CH 	 CH 	 2.4580039281147085e-06
AE loss	 0 	 37 	 Li 	 Li 	 1.4108574245386216e-08
AE loss	 0 	 9 	 CO 	 OC 	 0.0014017398216337282
AE loss	 0 	 14 	 NO2 	 NO2 	 0.00018946014442563572
AE loss	 0 	 29 	 N 	 N 	 5.634212780766852e-06
AE loss	 0 	 22 	 HO 	 OH 	 2.1839482986503913e-06
AE loss	 0 	 35 	 HF2 	 HF2 	 0.000703779717196823
AE loss	 1 	 22 	 HO 	 OH 	 2.203654286858998e-06
AE loss	 1 	 13 	 NO 	 NO 	 8.569911485027155e-06
AE loss	 1 	 1 	 N2 	 N2 	 0.0001802357290678881
AE loss	 1 	 35 	 HF2 	 HF2 	 0.0007143384832662466
AE loss	 1 	 9 	 CO 	 OC 	 0.001393366916466171
AE loss	 1 	 8 	 C2H2 	 C2H2 	 0.0008893540025153249
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009531361262203457
AE loss	 1 	 31 	 O 	 O 	 1.601547517624831e-05
AE loss	 1 	 17 	 N2O 	 N2O 	 1.5873644419671612e-05
AE loss	 1 	 6 	 F2 	 F2 	 2.2300477851856992e-07
AE loss	 1 	 20 	 H2O 	 OH2 	 3.124878866438824e-05
AE loss	 1 	 11 	 HLi 	 LiH 	 3.957707832562333e-06
AE loss	 1 	 15 	 HN 	 NH 	 1.1250823179355895e-05
AE loss	 1 	 14 	 NO2 	 NO2 	 0.00024525887079063723
AE loss	 1 	 19 	 CH2 	 CH2 	 0.00010423218551018957
AE loss	 1 	 4 	 CO2 	 CO2 	 0.017915857563805836
AE loss	 1 	 16 	 O3 	 O3 	 1.9082016001664652e-05
AE loss	 1 	 28 	 Li 	 Li 	 2.890884987904966e-07
AE loss	 1 	 37 	 Li 	 Li 	 1.1059274365137452e-08
AE loss	 1 	 12 	 Na2 	 Na2 	 2.700793108171382e-06
AE loss	 1 	 0 	 H2 	 H2 	 3.420377474452224e-06
AE loss	 1 	 30 	 Na 	 Na 	 2.576871869032313e-06
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009506231869432606
AE loss	 1 	 18 	 CH3 	 CH3 	 5.833067559998939e-05
AE loss	 1 	 25 	 Cl 	 Cl 	 4.239598508382946e-05
AE loss	 1 	 36 	 C 	 C 	 5.7915873220534106e-05
AE loss	 1 	 24 	 C 	 C 	 2.315235718196004e-05
AE loss	 1 	 21 	 H3N 	 NH3 	 2.6243917903535874e-05
AE loss	 1 	 27 	 H 	 H 	 1.3622804633148642e-08
AE loss	 1 	 23 	 CH 	 CH 	 3.002855012493193e-06
