AE loss	 0 	 6 	 H 	 H 	 5.970034235338679e-10
AE loss	 0 	 5 	 F 	 F 	 1.6502109516506007e-08
AE loss	 0 	 7 	 Li 	 Li 	 5.480754161452808e-08
AE loss	 0 	 4 	 C 	 C 	 5.022784525326897e-06
AE loss	 0 	 1 	 N2 	 N2 	 0.00018340842272534258
AE loss	 0 	 10 	 Li 	 Li 	 1.4083025733836347e-08
AE loss	 0 	 8 	 N 	 N 	 5.570057280639054e-06
AE loss	 0 	 0 	 H2 	 H2 	 2.2717238335730366e-06
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009544251763634649
AE loss	 0 	 9 	 C 	 C 	 6.0270986106749334e-05
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009647003230848133
AE loss	 1 	 1 	 N2 	 N2 	 0.00018271346656445483
AE loss	 1 	 0 	 H2 	 H2 	 2.4095586172193005e-06
AE loss	 1 	 7 	 Li 	 Li 	 2.7367287015528892e-09
AE loss	 1 	 6 	 H 	 H 	 2.5653748315512974e-09
AE loss	 1 	 8 	 N 	 N 	 1.296269190166686e-05
AE loss	 1 	 2 	 FLi 	 LiF 	 0.00953202198413956
AE loss	 1 	 5 	 F 	 F 	 9.46236645710555e-07
AE loss	 1 	 9 	 C 	 C 	 6.0135110455580926e-05
AE loss	 1 	 3 	 CHN 	 CNH 	 0.00958094162075417
AE loss	 1 	 10 	 Li 	 Li 	 8.826205589229417e-09
AE loss	 1 	 4 	 C 	 C 	 6.9170323606197356e-06
AE loss	 2 	 10 	 Li 	 Li 	 1.1144445660486302e-08
AE loss	 2 	 3 	 CHN 	 CNH 	 0.009500022577414498
AE loss	 2 	 4 	 C 	 C 	 6.929275738577983e-06
AE loss	 2 	 7 	 Li 	 Li 	 2.077112592228469e-09
AE loss	 2 	 9 	 C 	 C 	 5.9510064057066845e-05
AE loss	 2 	 8 	 N 	 N 	 8.693028237478734e-06
AE loss	 2 	 2 	 FLi 	 LiF 	 0.0094495803767479
AE loss	 2 	 0 	 H2 	 H2 	 1.9179044546848775e-06
AE loss	 2 	 1 	 N2 	 N2 	 0.00016248842015562456
AE loss	 2 	 5 	 F 	 F 	 2.0981404926064056e-07
AE loss	 2 	 6 	 H 	 H 	 4.558055460430151e-09
AE loss	 3 	 0 	 H2 	 H2 	 1.7630385099823947e-06
AE loss	 3 	 10 	 Li 	 Li 	 2.0794635809704197e-08
AE loss	 3 	 4 	 C 	 C 	 6.30569088338398e-06
AE loss	 3 	 7 	 Li 	 Li 	 2.7481753466890465e-08
AE loss	 3 	 1 	 N2 	 N2 	 0.00015834529282822022
AE loss	 3 	 2 	 FLi 	 LiF 	 0.00939423705801447
AE loss	 3 	 6 	 H 	 H 	 5.384541686377461e-09
AE loss	 3 	 9 	 C 	 C 	 5.965869626906231e-05
AE loss	 3 	 5 	 F 	 F 	 2.9422915102494667e-08
AE loss	 3 	 3 	 CHN 	 CNH 	 0.009265927596199978
AE loss	 3 	 8 	 N 	 N 	 6.489516237760896e-06
AE loss	 4 	 0 	 H2 	 H2 	 1.4533211467388632e-06
AE loss	 4 	 10 	 Li 	 Li 	 2.7243033492180526e-08
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009330943413377554
AE loss	 4 	 4 	 C 	 C 	 5.697063809019981e-06
AE loss	 4 	 8 	 N 	 N 	 6.516373254956345e-06
AE loss	 4 	 7 	 Li 	 Li 	 5.7925176805644423e-08
AE loss	 4 	 5 	 F 	 F 	 1.698194182473636e-07
AE loss	 4 	 3 	 CHN 	 CNH 	 0.00916438115939834
AE loss	 4 	 6 	 H 	 H 	 7.154565870124503e-09
AE loss	 4 	 1 	 N2 	 N2 	 0.00014848956382159875
AE loss	 4 	 9 	 C 	 C 	 5.931986884815769e-05
AE loss	 5 	 8 	 N 	 N 	 6.4300451432517376e-06
AE loss	 5 	 2 	 FLi 	 LiF 	 0.009271084821385334
AE loss	 5 	 7 	 Li 	 Li 	 8.657382502585993e-08
AE loss	 5 	 4 	 C 	 C 	 5.268396828112392e-06
AE loss	 5 	 3 	 CHN 	 CNH 	 0.009044213471557686
AE loss	 5 	 6 	 H 	 H 	 1.0015284486624485e-08
AE loss	 5 	 5 	 F 	 F 	 6.227482112312859e-08
AE loss	 5 	 0 	 H2 	 H2 	 8.802313022661946e-07
AE loss	 5 	 1 	 N2 	 N2 	 0.0001419471620684486
AE loss	 5 	 10 	 Li 	 Li 	 5.4550861139418925e-08
AE loss	 5 	 9 	 C 	 C 	 5.828650109617944e-05
AE loss	 6 	 7 	 Li 	 Li 	 9.766960258640386e-08
AE loss	 6 	 6 	 H 	 H 	 1.3592018912006927e-08
AE loss	 6 	 10 	 Li 	 Li 	 6.103158137763741e-08
AE loss	 6 	 8 	 N 	 N 	 8.446190619714942e-06
AE loss	 6 	 5 	 F 	 F 	 1.274047688621638e-07
AE loss	 6 	 4 	 C 	 C 	 6.454640238580899e-06
AE loss	 6 	 1 	 N2 	 N2 	 0.00013790626327210304
AE loss	 6 	 0 	 H2 	 H2 	 6.747826834433347e-07
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008854933586135792
AE loss	 6 	 2 	 FLi 	 LiF 	 0.009187235653192304
AE loss	 6 	 9 	 C 	 C 	 5.744943263224246e-05
AE loss	 7 	 4 	 C 	 C 	 6.5078833123579405e-06
AE loss	 7 	 6 	 H 	 H 	 1.708562569371982e-08
AE loss	 7 	 2 	 FLi 	 LiF 	 0.009158605163129208
AE loss	 7 	 7 	 Li 	 Li 	 1.2333819325135218e-07
AE loss	 7 	 1 	 N2 	 N2 	 0.00013258780712079696
AE loss	 7 	 0 	 H2 	 H2 	 4.988784325591725e-07
