AE loss	 0 	 4 	 C 	 C 	 5.008318476459877e-06
AE loss	 0 	 8 	 N 	 N 	 5.634368719397754e-06
AE loss	 0 	 5 	 F 	 F 	 1.655750836411603e-08
AE loss	 0 	 1 	 N2 	 N2 	 0.00018215978392936076
AE loss	 0 	 7 	 Li 	 Li 	 5.4705428147573974e-08
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009645035940698867
AE loss	 0 	 11 	 HF2 	 HF2 	 0.000790309829934319
AE loss	 0 	 10 	 CH4O 	 CH4O 	 5.829788731959843e-05
AE loss	 0 	 6 	 H 	 H 	 5.282226117006679e-10
AE loss	 0 	 0 	 H2 	 H2 	 2.2765993764096724e-06
AE loss	 0 	 9 	 HN2O 	 HON2 	 0.0008339246722998092
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009544486819069645
AE loss	 1 	 6 	 H 	 H 	 5.622950526932735e-10
AE loss	 1 	 1 	 N2 	 N2 	 0.00018240762797807486
AE loss	 1 	 7 	 Li 	 Li 	 1.0320649536222425e-08
AE loss	 1 	 5 	 F 	 F 	 2.022706988022562e-06
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009593082571393189
AE loss	 1 	 4 	 C 	 C 	 8.095986720427038e-06
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009538326399503836
AE loss	 1 	 0 	 H2 	 H2 	 2.223472872853407e-06
AE loss	 1 	 10 	 CH4O 	 CH4O 	 5.9274126924001286e-05
AE loss	 1 	 11 	 HF2 	 HF2 	 0.0008077001682586857
AE loss	 1 	 9 	 HN2O 	 HON2 	 0.0008537427819153636
AE loss	 1 	 8 	 N 	 N 	 9.838378567477574e-06
AE loss	 2 	 0 	 H2 	 H2 	 2.019008582170111e-06
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009482344655466936
AE loss	 2 	 8 	 N 	 N 	 8.582574792579488e-06
AE loss	 2 	 9 	 HN2O 	 HON2 	 0.0008516393025858952
AE loss	 2 	 7 	 Li 	 Li 	 3.627087099780815e-08
AE loss	 2 	 10 	 CH4O 	 CH4O 	 5.9095117409676866e-05
AE loss	 2 	 1 	 N2 	 N2 	 0.0001688535931805317
AE loss	 2 	 3 	 CHN 	 CNH 	 0.00941995533086969
AE loss	 2 	 6 	 H 	 H 	 3.421745971974899e-09
AE loss	 2 	 4 	 C 	 C 	 5.322411116868346e-06
AE loss	 2 	 5 	 F 	 F 	 6.7412681328107535e-09
AE loss	 2 	 11 	 HF2 	 HF2 	 0.0008093892844911919
AE loss	 3 	 0 	 H2 	 H2 	 1.5295314585546362e-06
AE loss	 3 	 11 	 HF2 	 HF2 	 0.0008109208940685824
AE loss	 3 	 9 	 HN2O 	 HON2 	 0.000850976673961257
AE loss	 3 	 6 	 H 	 H 	 5.046501670800145e-09
AE loss	 3 	 4 	 C 	 C 	 5.288726908514466e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.00016035657020219786
AE loss	 3 	 3 	 CHN 	 CNH 	 0.0092776356177291
AE loss	 3 	 5 	 F 	 F 	 4.303029571224051e-09
AE loss	 3 	 7 	 Li 	 Li 	 9.781131273436598e-08
AE loss	 3 	 2 	 FLi 	 LiF 	 0.009389066079986613
AE loss	 3 	 10 	 CH4O 	 CH4O 	 5.891251306137675e-05
AE loss	 3 	 8 	 N 	 N 	 7.544950819678987e-06
AE loss	 4 	 7 	 Li 	 Li 	 1.0332595861838138e-07
AE loss	 4 	 6 	 H 	 H 	 7.522983452468665e-09
AE loss	 4 	 10 	 CH4O 	 CH4O 	 5.8928570473153826e-05
AE loss	 4 	 0 	 H2 	 H2 	 1.1025548390295682e-06
AE loss	 4 	 9 	 HN2O 	 HON2 	 0.0008545516985535533
AE loss	 4 	 4 	 C 	 C 	 5.577212267857665e-06
AE loss	 4 	 3 	 CHN 	 CNH 	 0.00912215796973723
AE loss	 4 	 5 	 F 	 F 	 7.093737483697515e-08
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009322752789883346
AE loss	 4 	 11 	 HF2 	 HF2 	 0.0008272746128510702
AE loss	 4 	 1 	 N2 	 N2 	 0.00015017096511407666
AE loss	 4 	 8 	 N 	 N 	 7.667508488856833e-06
AE loss	 5 	 2 	 FLi 	 LiF 	 0.009293892039193683
AE loss	 5 	 10 	 CH4O 	 CH4O 	 5.890064906908019e-05
AE loss	 5 	 9 	 HN2O 	 HON2 	 0.0008562396713788358
AE loss	 5 	 11 	 HF2 	 HF2 	 0.000828770357065999
AE loss	 5 	 5 	 F 	 F 	 3.55755037426457e-08
