AE loss	 0 	 13 	 Li 	 Li 	 1.4178297816294163e-08
AE loss	 0 	 11 	 HF2 	 HF2 	 0.0007903100275391762
AE loss	 0 	 9 	 HN2O 	 HON2 	 0.0008370328301902746
AE loss	 0 	 8 	 N 	 N 	 5.6057966104336715e-06
AE loss	 0 	 3 	 CHN 	 CNH 	 0.009645700431395076
AE loss	 0 	 0 	 H2 	 H2 	 2.2960335715057312e-06
AE loss	 0 	 2 	 FLi 	 LiF 	 0.009542114711805749
AE loss	 0 	 5 	 F 	 F 	 1.6738614435648653e-08
AE loss	 0 	 1 	 N2 	 N2 	 0.00018176881503185075
AE loss	 0 	 10 	 CH4O 	 CH4O 	 5.8297912045758484e-05
AE loss	 0 	 12 	 C 	 C 	 6.014839888553748e-05
AE loss	 0 	 4 	 C 	 C 	 5.0049776205074245e-06
AE loss	 0 	 7 	 Li 	 Li 	 5.519713629333637e-08
AE loss	 0 	 6 	 H 	 H 	 7.433725150622651e-10
AE loss	 1 	 7 	 Li 	 Li 	 5.53322756373282e-08
AE loss	 1 	 5 	 F 	 F 	 8.104679866585612e-07
AE loss	 1 	 10 	 CH4O 	 CH4O 	 5.906281695959303e-05
AE loss	 1 	 9 	 HN2O 	 HON2 	 0.0008417924067922893
AE loss	 1 	 3 	 CHN 	 CNH 	 0.009666829197142813
AE loss	 1 	 8 	 N 	 N 	 5.204892131503756e-06
AE loss	 1 	 11 	 HF2 	 HF2 	 0.0007949571165941369
AE loss	 1 	 6 	 H 	 H 	 1.5230472670989761e-09
AE loss	 1 	 1 	 N2 	 N2 	 0.00017744914904069462
AE loss	 1 	 12 	 C 	 C 	 6.009925923876131e-05
AE loss	 1 	 4 	 C 	 C 	 4.887576465484157e-06
AE loss	 1 	 0 	 H2 	 H2 	 1.8754899386910548e-06
AE loss	 1 	 13 	 Li 	 Li 	 1.0786920756063179e-08
AE loss	 1 	 2 	 FLi 	 LiF 	 0.009532450622108748
AE loss	 2 	 4 	 C 	 C 	 4.660336024964973e-06
AE loss	 2 	 13 	 Li 	 Li 	 1.1743429425816829e-08
AE loss	 2 	 9 	 HN2O 	 HON2 	 0.0008389934357038646
AE loss	 2 	 6 	 H 	 H 	 2.0520218889257534e-09
AE loss	 2 	 12 	 C 	 C 	 6.012385350074131e-05
AE loss	 2 	 2 	 FLi 	 LiF 	 0.009486167503435559
AE loss	 2 	 0 	 H2 	 H2 	 1.5999152108112236e-06
AE loss	 2 	 10 	 CH4O 	 CH4O 	 5.873305289397999e-05
AE loss	 2 	 5 	 F 	 F 	 1.1478925369254844e-06
AE loss	 2 	 1 	 N2 	 N2 	 0.00016931536449716548
AE loss	 2 	 8 	 N 	 N 	 3.3985452169542744e-06
AE loss	 2 	 3 	 CHN 	 CNH 	 0.009433601889614115
AE loss	 2 	 7 	 Li 	 Li 	 1.5057897396105102e-07
AE loss	 2 	 11 	 HF2 	 HF2 	 0.0008030375333869606
AE loss	 3 	 12 	 C 	 C 	 6.04796891390817e-05
