#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 37 	 Li 	 Li 	 1.38060886540496e-08 	 1.38060886540496e-08
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 30 	 Na 	 Na 	 8.41854994753445e-06 	 8.41854994753445e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 5.002507653605003e-06 	 5.002507653605003e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 NO 	 NO 	 8.720066643402054e-06 	 8.720066643402054e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 O3 	 O3 	 4.5178897891324434e-06 	 4.5178897891324434e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 28 	 Li 	 Li 	 5.4683296696901614e-08 	 5.4683296696901614e-08
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 35 	 HF2 	 HF2 	 0.000790310132639364 	 0.000790310132639364
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 C2H2 	 C2H2 	 0.0008896663406224992 	 0.0008896663406224992
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.00964021928451685 	 0.00964021928451685
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 CH 	 CH 	 2.4567374596890043e-06 	 2.4567374596890043e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 CH3 	 CH3 	 6.2554265900847e-05 	 6.2554265900847e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 CH2 	 CH2 	 0.00010444580698791069 	 0.00010444580698791069
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 29 	 N 	 N 	 5.57610604281529e-06 	 5.57610604281529e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 36 	 C 	 C 	 5.9969531143977794e-05 	 5.9969531143977794e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.018279597956519 	 0.018279597956519
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 HO 	 OH 	 2.177026318766214e-06 	 2.177026318766214e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.00018226925768546694 	 0.00018226925768546694
