#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 1.081399883982568e-07 	 1.081399883982568e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 7.726591136996694e-07 	 7.726591136996694e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 6.116929022353653e-06 	 6.116929022353653e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 8.344445197931585e-05 	 8.344445197931585e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 1.256730778642719e-06 	 1.256730778642719e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.0022676768572603453 	 0.0022676768572603453
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 0.00016521989558799177 	 0.00016521989558799177
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 6.169961128618142e-05 	 6.169961128618142e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.009972127204632468 	 0.009972127204632468
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 3.6022694832515258e-06 	 3.6022694832515258e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.00032243789022543836 	 0.00032243789022543836
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.00010845028985286962 	 0.00010845028985286962
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 6.149163604017812e-06 	 6.149163604017812e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.001170613284325315 	 0.001170613284325315
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0016471298995867742 	 0.0016471298995867742
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.02049193267353277 	 0.02049193267353277
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 5.967294265691157e-06 	 5.967294265691157e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.0003180545346491748 	 0.0003180545346491748
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.0003715209448470305 	 0.0003715209448470305
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 5.5155178189757515e-05 	 5.5155178189757515e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.0007851700026037464 	 0.0007851700026037464
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.010593577326444264 	 0.010593577326444264
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 2.586693928007394e-07 	 2.586693928007394e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 2.80430459794855e-05 	 2.80430459794855e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0009050916018565159 	 0.0009050916018565159
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 8.035643646966775e-06 	 8.035643646966775e-06
1	 3 	 CHN 	 CNH 	 0.0099590015384208 	 0.0099590015384208
1	 25 	 Li 	 Li 	 2.454267284891171e-07 	 2.454267284891171e-07
1	 8 	 HLi 	 LiH 	 5.6716486944284156e-06 	 5.6716486944284156e-06
1	 24 	 C 	 C 	 0.00015999062497550683 	 0.00015999062497550683
1	 18 	 H3N 	 NH3 	 0.0003195919351955245 	 0.0003195919351955245
1	 9 	 Na2 	 Na2 	 1.7532744327729642e-07 	 1.7532744327729642e-07
1	 20 	 CH 	 CH 	 7.478826151396795e-06 	 7.478826151396795e-06
1	 0 	 H2 	 H2 	 5.448505589694821e-06 	 5.448505589694821e-06
1	 1 	 N2 	 N2 	 0.00030978222899886196 	 0.00030978222899886196
1	 5 	 F2 	 F2 	 2.969178854545673e-06 	 2.969178854545673e-06
1	 14 	 N2O 	 N2O 	 4.549563796749581e-05 	 4.549563796749581e-05
1	 10 	 NO 	 NO 	 2.7711632888225062e-05 	 2.7711632888225062e-05
1	 13 	 O3 	 O3 	 8.603917786979012e-06 	 8.603917786979012e-06
1	 7 	 CO 	 OC 	 0.0016298042612836975 	 0.0016298042612836975
