#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0009050916017556189 	 0.0009050916017556189
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.0003209867631886024 	 0.0003209867631886024
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.02049219743591852 	 0.02049219743591852
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.00996594624691283 	 0.00996594624691283
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 6.169961127300967e-05 	 6.169961127300967e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 8.070923806511075e-06 	 8.070923806511075e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.01058181190364279 	 0.01058181190364279
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 0.00016495955223157937 	 0.00016495955223157937
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.0007851700025870219 	 0.0007851700025870219
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.0022675949441985314 	 0.0022675949441985314
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 6.167683518802072e-06 	 6.167683518802072e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.0011712014697381138 	 0.0011712014697381138
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 6.789921268885147e-06 	 6.789921268885147e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 6.0170991482690035e-06 	 6.0170991482690035e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 1.505141365688819e-07 	 1.505141365688819e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 5.533611303574513e-05 	 5.533611303574513e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 2.785251629397808e-05 	 2.785251629397808e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 7.577671298681018e-07 	 7.577671298681018e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 3.615387026791107e-06 	 3.615387026791107e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 2.6039778696596415e-07 	 2.6039778696596415e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 8.365675895649048e-05 	 8.365675895649048e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0016473580131674715 	 0.0016473580131674715
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 1.2211566172141832e-06 	 1.2211566172141832e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.00031848357796147544 	 0.00031848357796147544
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.0003717025200712279 	 0.0003717025200712279
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.00010839093462300614 	 0.00010839093462300614
1	 1 	 N2 	 N2 	 0.0003201893224565965 	 0.0003201893224565965
1	 22 	 CH4O 	 CH4O 	 6.227074946402624e-05 	 6.227074946402624e-05
1	 19 	 HO 	 OH 	 8.049291152847367e-07 	 8.049291152847367e-07
1	 24 	 C 	 C 	 0.00016399589268841728 	 0.00016399589268841728
1	 5 	 F2 	 F2 	 3.107972851738925e-06 	 3.107972851738925e-06
1	 7 	 CO 	 OC 	 0.001631338284979026 	 0.001631338284979026
1	 6 	 C2H2 	 C2H2 	 0.0011622896251714519 	 0.0011622896251714519
1	 4 	 CO2 	 CO2 	 0.020281264875305172 	 0.020281264875305172
1	 23 	 HF2 	 HF2 	 0.0008130566770853558 	 0.0008130566770853558
1	 18 	 H3N 	 NH3 	 0.0003274322618049095 	 0.0003274322618049095
1	 10 	 NO 	 NO 	 2.3845952569801585e-05 	 2.3845952569801585e-05
1	 2 	 FLi 	 LiF 	 0.010541591671554643 	 0.010541591671554643
1	 13 	 O3 	 O3 	 1.797330756622432e-05 	 1.797330756622432e-05
1	 8 	 HLi 	 LiH 	 7.29612105632208e-06 	 7.29612105632208e-06
1	 9 	 Na2 	 Na2 	 2.5148405295194196e-07 	 2.5148405295194196e-07
1	 16 	 CH2 	 CH2 	 0.002308474571122487 	 0.002308474571122487
1	 21 	 HN2O 	 HON2 	 0.0009793563107846138 	 0.0009793563107846138
1	 14 	 N2O 	 N2O 	 2.274840190982817e-05 	 2.274840190982817e-05
1	 25 	 Li 	 Li 	 7.490964647137795e-08 	 7.490964647137795e-08
1	 15 	 CH3 	 CH3 	 1.9330230792607103e-06 	 1.9330230792607103e-06
1	 0 	 H2 	 H2 	 8.766164322100949e-06 	 8.766164322100949e-06
1	 11 	 NO2 	 NO2 	 0.00014038539153427246 	 0.00014038539153427246
1	 20 	 CH 	 CH 	 8.715847072281982e-06 	 8.715847072281982e-06
1	 17 	 H2O 	 OH2 	 0.00010974762031442745 	 0.00010974762031442745
1	 3 	 CHN 	 CNH 	 0.009819297460999826 	 0.009819297460999826
1	 12 	 HN 	 NH 	 0.00037719907737638437 	 0.00037719907737638437
2	 19 	 HO 	 OH 	 5.808617249061721e-07 	 5.808617249061721e-07
2	 8 	 HLi 	 LiH 	 7.616879775726853e-06 	 7.616879775726853e-06
2	 20 	 CH 	 CH 	 8.752720180272762e-06 	 8.752720180272762e-06
2	 0 	 H2 	 H2 	 9.091387419076896e-06 	 9.091387419076896e-06
2	 25 	 Li 	 Li 	 2.9402304245431883e-07 	 2.9402304245431883e-07
2	 24 	 C 	 C 	 0.00015120434011036432 	 0.00015120434011036432
2	 15 	 CH3 	 CH3 	 2.702101788130905e-06 	 2.702101788130905e-06
2	 3 	 CHN 	 CNH 	 0.009685771607469336 	 0.009685771607469336
2	 5 	 F2 	 F2 	 1.4906319064906333e-06 	 1.4906319064906333e-06
2	 11 	 NO2 	 NO2 	 0.00015253477185390326 	 0.00015253477185390326
2	 21 	 HN2O 	 HON2 	 0.0010112312865670561 	 0.0010112312865670561
2	 4 	 CO2 	 CO2 	 0.01971578853612351 	 0.01971578853612351
2	 22 	 CH4O 	 CH4O 	 7.011109054292111e-05 	 7.011109054292111e-05
2	 12 	 HN 	 NH 	 0.0003803100250417304 	 0.0003803100250417304
2	 16 	 CH2 	 CH2 	 0.0023557091906431316 	 0.0023557091906431316
2	 9 	 Na2 	 Na2 	 2.3531597133985944e-07 	 2.3531597133985944e-07
2	 2 	 FLi 	 LiF 	 0.010399881380140875 	 0.010399881380140875
2	 17 	 H2O 	 OH2 	 0.0001293640252747065 	 0.0001293640252747065
2	 10 	 NO 	 NO 	 1.859382894327445e-05 	 1.859382894327445e-05
2	 6 	 C2H2 	 C2H2 	 0.001111681477161279 	 0.001111681477161279
2	 7 	 CO 	 OC 	 0.0015428024725665037 	 0.0015428024725665037
2	 1 	 N2 	 N2 	 0.00027426073586932405 	 0.00027426073586932405
2	 13 	 O3 	 O3 	 4.471564262521729e-05 	 4.471564262521729e-05
2	 14 	 N2O 	 N2O 	 5.227784529901045e-06 	 5.227784529901045e-06
2	 18 	 H3N 	 NH3 	 0.00034349447226871574 	 0.00034349447226871574
2	 23 	 HF2 	 HF2 	 0.0008905246386090305 	 0.0008905246386090305
3	 23 	 HF2 	 HF2 	 0.0008912140938368218 	 0.0008912140938368218
3	 8 	 HLi 	 LiH 	 8.444110201069442e-06 	 8.444110201069442e-06
3	 19 	 HO 	 OH 	 2.6328883826899685e-07 	 2.6328883826899685e-07
3	 11 	 NO2 	 NO2 	 0.0001951146107378856 	 0.0001951146107378856
3	 24 	 C 	 C 	 0.00013795188096285638 	 0.00013795188096285638
3	 16 	 CH2 	 CH2 	 0.0023684223349194978 	 0.0023684223349194978
3	 13 	 O3 	 O3 	 5.2558057129849646e-05 	 5.2558057129849646e-05
3	 20 	 CH 	 CH 	 9.04416116190088e-06 	 9.04416116190088e-06
3	 1 	 N2 	 N2 	 0.00026625729123336804 	 0.00026625729123336804
3	 5 	 F2 	 F2 	 6.01576450550656e-07 	 6.01576450550656e-07
3	 9 	 Na2 	 Na2 	 2.2411404279967153e-07 	 2.2411404279967153e-07
3	 0 	 H2 	 H2 	 1.0316697632279035e-05 	 1.0316697632279035e-05
3	 10 	 NO 	 NO 	 1.599610153133471e-05 	 1.599610153133471e-05
3	 18 	 H3N 	 NH3 	 0.00034732682882988636 	 0.00034732682882988636
3	 6 	 C2H2 	 C2H2 	 0.0010918209248925131 	 0.0010918209248925131
3	 14 	 N2O 	 N2O 	 1.656880468724399e-06 	 1.656880468724399e-06
3	 21 	 HN2O 	 HON2 	 0.0010821355283599 	 0.0010821355283599
3	 15 	 CH3 	 CH3 	 4.2948120370340265e-06 	 4.2948120370340265e-06
3	 3 	 CHN 	 CNH 	 0.00939573060644677 	 0.00939573060644677
3	 17 	 H2O 	 OH2 	 0.00013015729221502995 	 0.00013015729221502995
