#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 0.00016547661160483022 	 0.00016547661160483022
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 8.332179067750127e-05 	 8.332179067750127e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.00037104110500874363 	 0.00037104110500874363
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 8.070645510246385e-06 	 8.070645510246385e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 5.949742191208563e-06 	 5.949742191208563e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.001647322588816937 	 0.001647322588816937
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 3.6192811399200867e-06 	 3.6192811399200867e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 6.123084976341543e-06 	 6.123084976341543e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.020496380178686463 	 0.020496380178686463
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.010591788309359248 	 0.010591788309359248
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 1.1930942293337526e-06 	 1.1930942293337526e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 6.609636766430405e-06 	 6.609636766430405e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.002267067730815141 	 0.002267067730815141
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.00032111169189471726 	 0.00032111169189471726
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.0007851700026212672 	 0.0007851700026212672
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.00010867992187487689 	 0.00010867992187487689
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 5.548563262042994e-05 	 5.548563262042994e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.00032186669752208813 	 0.00032186669752208813
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0009050916018479654 	 0.0009050916018479654
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 3.7860064661023904e-07 	 3.7860064661023904e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 2.7944494079737652e-05 	 2.7944494079737652e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.009959028167920792 	 0.009959028167920792
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 6.169961127948392e-05 	 6.169961127948392e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 7.681136922917852e-07 	 7.681136922917852e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 2.57137989216841e-07 	 2.57137989216841e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.0011694816007896164 	 0.0011694816007896164
1	 3 	 CHN 	 CNH 	 0.009971500666155129 	 0.009971500666155129
1	 13 	 O3 	 O3 	 6.1897136554029305e-06 	 6.1897136554029305e-06
1	 0 	 H2 	 H2 	 5.470908263906043e-06 	 5.470908263906043e-06
1	 7 	 CO 	 OC 	 0.0016416699918378904 	 0.0016416699918378904
1	 19 	 HO 	 OH 	 6.967856657670327e-07 	 6.967856657670327e-07
1	 22 	 CH4O 	 CH4O 	 6.222163262307856e-05 	 6.222163262307856e-05
1	 24 	 C 	 C 	 0.00015653861252029058 	 0.00015653861252029058
1	 15 	 CH3 	 CH3 	 1.301934013847158e-06 	 1.301934013847158e-06
1	 4 	 CO2 	 CO2 	 0.020361218756376292 	 0.020361218756376292
1	 10 	 NO 	 NO 	 2.691742235408228e-05 	 2.691742235408228e-05
1	 12 	 HN 	 NH 	 0.000370523048950319 	 0.000370523048950319
1	 25 	 Li 	 Li 	 1.5963571501737646e-08 	 1.5963571501737646e-08
1	 20 	 CH 	 CH 	 8.018182855444436e-06 	 8.018182855444436e-06
1	 2 	 FLi 	 LiF 	 0.010540158997793864 	 0.010540158997793864
1	 1 	 N2 	 N2 	 0.0003014835675605544 	 0.0003014835675605544
1	 8 	 HLi 	 LiH 	 6.245348144321426e-06 	 6.245348144321426e-06
1	 6 	 C2H2 	 C2H2 	 0.0011508564196352658 	 0.0011508564196352658
1	 11 	 NO2 	 NO2 	 0.0001126688045980172 	 0.0001126688045980172
1	 17 	 H2O 	 OH2 	 0.00012088674032837943 	 0.00012088674032837943
1	 23 	 HF2 	 HF2 	 0.0008367147838938476 	 0.0008367147838938476
1	 14 	 N2O 	 N2O 	 2.8461087160436086e-05 	 2.8461087160436086e-05
1	 21 	 HN2O 	 HON2 	 0.0009625685045379848 	 0.0009625685045379848
1	 16 	 CH2 	 CH2 	 0.002304116756425006 	 0.002304116756425006
1	 5 	 F2 	 F2 	 1.9095030238687464e-06 	 1.9095030238687464e-06
1	 18 	 H3N 	 NH3 	 0.00033210558764870494 	 0.00033210558764870494
1	 9 	 Na2 	 Na2 	 2.2868332069448417e-07 	 2.2868332069448417e-07
2	 17 	 H2O 	 OH2 	 0.00011958294849847683 	 0.00011958294849847683
2	 4 	 CO2 	 CO2 	 0.01992097918065902 	 0.01992097918065902
2	 6 	 C2H2 	 C2H2 	 0.0011303428998108837 	 0.0011303428998108837
2	 15 	 CH3 	 CH3 	 2.3248091898003567e-06 	 2.3248091898003567e-06
2	 20 	 CH 	 CH 	 8.464308687013078e-06 	 8.464308687013078e-06
2	 9 	 Na2 	 Na2 	 2.365252247214502e-07 	 2.365252247214502e-07
2	 19 	 HO 	 OH 	 4.348314755524055e-07 	 4.348314755524055e-07
2	 16 	 CH2 	 CH2 	 0.0023232187736631485 	 0.0023232187736631485
2	 1 	 N2 	 N2 	 0.00028682911696696563 	 0.00028682911696696563
2	 7 	 CO 	 OC 	 0.0015658961959788293 	 0.0015658961959788293
2	 18 	 H3N 	 NH3 	 0.00033557326869562 	 0.00033557326869562
2	 8 	 HLi 	 LiH 	 7.327177585174374e-06 	 7.327177585174374e-06
2	 5 	 F2 	 F2 	 1.2200575859622038e-06 	 1.2200575859622038e-06
