#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.001171060705254743 	 0.001171060705254743
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 6.159136111081524e-06 	 6.159136111081524e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 0.00016536666890219607 	 0.00016536666890219607
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.009966931820887936 	 0.009966931820887936
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 5.902393160094048e-06 	 5.902393160094048e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 5.5130890148501413e-05 	 5.5130890148501413e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0009050916017470683 	 0.0009050916017470683
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.0007851700025854291 	 0.0007851700025854291
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 6.169961127390266e-05 	 6.169961127390266e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.0003216533742052326 	 0.0003216533742052326
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 2.6113234643043826e-07 	 2.6113234643043826e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.00010822550229387407 	 0.00010822550229387407
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 2.7939460291400103e-05 	 2.7939460291400103e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.00031807009870518795 	 0.00031807009870518795
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 6.133333817977006e-06 	 6.133333817977006e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 8.063937675803279e-06 	 8.063937675803279e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.020496414448572274 	 0.020496414448572274
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 2.2881767195409667e-07 	 2.2881767195409667e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0016479163760155548 	 0.0016479163760155548
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 3.6034043842044343e-06 	 3.6034043842044343e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 1.255919406372701e-06 	 1.255919406372701e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 7.654082818383627e-07 	 7.654082818383627e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.002265439551841305 	 0.002265439551841305
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 8.376432311478844e-05 	 8.376432311478844e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.00037165671686347125 	 0.00037165671686347125
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.010591314166600434 	 0.010591314166600434
1	 16 	 CH2 	 CH2 	 0.0022664003447745306 	 0.0022664003447745306
1	 12 	 HN 	 NH 	 0.00036527724989742996 	 0.00036527724989742996
1	 2 	 FLi 	 LiF 	 0.010581184959829112 	 0.010581184959829112
1	 5 	 F2 	 F2 	 3.48463981094879e-06 	 3.48463981094879e-06
1	 8 	 HLi 	 LiH 	 5.226851038297168e-06 	 5.226851038297168e-06
1	 7 	 CO 	 OC 	 0.0016339620745391685 	 0.0016339620745391685
1	 20 	 CH 	 CH 	 7.212234960919715e-06 	 7.212234960919715e-06
1	 18 	 H3N 	 NH3 	 0.00028280806622669314 	 0.00028280806622669314
1	 24 	 C 	 C 	 0.0001724714644929887 	 0.0001724714644929887
1	 14 	 N2O 	 N2O 	 3.7491483389040375e-05 	 3.7491483389040375e-05
1	 10 	 NO 	 NO 	 2.5144860533282553e-05 	 2.5144860533282553e-05
1	 1 	 N2 	 N2 	 0.00030518912903586043 	 0.00030518912903586043
1	 11 	 NO2 	 NO2 	 0.00011087986759952791 	 0.00011087986759952791
1	 25 	 Li 	 Li 	 8.029989711285423e-08 	 8.029989711285423e-08
1	 6 	 C2H2 	 C2H2 	 0.0011189778474735624 	 0.0011189778474735624
1	 4 	 CO2 	 CO2 	 0.020141153860955864 	 0.020141153860955864
