#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.002057396542571145 	 0.002057396542571145
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 1.982159132807803e-06 	 1.982159132807803e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 1.463699209184765e-07 	 1.463699209184765e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 5.630009388098779e-07 	 5.630009388098779e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 1.681026043928643e-07 	 1.681026043928643e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 1.0491299202749549e-08 	 1.0491299202749549e-08
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.01816412677689809 	 0.01816412677689809
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0012273255585223974 	 0.0012273255585223974
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 6.521948885704862e-05 	 6.521948885704862e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 2.5465611149002873e-05 	 2.5465611149002873e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.006842055248048454 	 0.006842055248048454
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.0006172607959705603 	 0.0006172607959705603
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 4.9813359713265135e-05 	 4.9813359713265135e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
