#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 2.7859107741715342e-05 	 2.7859107741715342e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 6.169961128372567e-05 	 6.169961128372567e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 1.2012191046138785e-06 	 1.2012191046138785e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.0003711066375235642 	 0.0003711066375235642
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 7.750140014403173e-07 	 7.750140014403173e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 6.13093764783042e-06 	 6.13093764783042e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.001170385899648561 	 0.001170385899648561
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.0022667250541472113 	 0.0022667250541472113
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.00031808697005999975 	 0.00031808697005999975
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 8.043314096783143e-06 	 8.043314096783143e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0009050916018582261 	 0.0009050916018582261
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.0001084027557391987 	 0.0001084027557391987
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.02050389021070302 	 0.02050389021070302
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 4.983564505812002e-07 	 4.983564505812002e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 5.532416790000637e-05 	 5.532416790000637e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.001647441447386645 	 0.001647441447386645
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.010583182526748865 	 0.010583182526748865
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 5.902058396184148e-06 	 5.902058396184148e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 8.36144263065623e-05 	 8.36144263065623e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.0007851700025941896 	 0.0007851700025941896
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 2.6067100921029475e-07 	 2.6067100921029475e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 0.00016531605588681665 	 0.00016531605588681665
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.0003217162519061447 	 0.0003217162519061447
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.009961725429859567 	 0.009961725429859567
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 3.6085004074324075e-06 	 3.6085004074324075e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
