#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 5.919405017635087e-06 	 5.919405017635087e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 6.169961128238617e-05 	 6.169961128238617e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.00226581500269204 	 0.00226581500269204
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 0.00016508132653470355 	 0.00016508132653470355
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.020503507449781706 	 0.020503507449781706
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 1.2188881836222521e-06 	 1.2188881836222521e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 8.059860394183736e-06 	 8.059860394183736e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.000905091601871907 	 0.000905091601871907
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 5.4942049646962936e-05 	 5.4942049646962936e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.00010855592232480891 	 0.00010855592232480891
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 6.036695369012451e-06 	 6.036695369012451e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.009960004632605437 	 0.009960004632605437
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.0011714548222616426 	 0.0011714548222616426
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 7.637624850889478e-07 	 7.637624850889478e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.0007851700026053392 	 0.0007851700026053392
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 0.00031941798686705293 	 0.00031941798686705293
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 1.1681889434187705e-07 	 1.1681889434187705e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 2.5805091974865167e-07 	 2.5805091974865167e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.0003716486772976016 	 0.0003716486772976016
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 2.7986923704674418e-05 	 2.7986923704674418e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 3.6078264487605524e-06 	 3.6078264487605524e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0016481102317608665 	 0.0016481102317608665
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 6.274177752370697e-06 	 6.274177752370697e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.010585192334247841 	 0.010585192334247841
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.00032180514914100883 	 0.00032180514914100883
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 8.35399147341206e-05 	 8.35399147341206e-05
1	 17 	 H2O 	 OH2 	 0.00010825288807847584 	 0.00010825288807847584
1	 7 	 CO 	 OC 	 0.0016450296516659318 	 0.0016450296516659318
1	 5 	 F2 	 F2 	 3.3556596273940483e-06 	 3.3556596273940483e-06
1	 4 	 CO2 	 CO2 	 0.020400362207724367 	 0.020400362207724367
1	 21 	 HN2O 	 HON2 	 0.0009241874434688152 	 0.0009241874434688152
1	 13 	 O3 	 O3 	 1.2414468755921284e-05 	 1.2414468755921284e-05
1	 19 	 HO 	 OH 	 9.098521957904169e-07 	 9.098521957904169e-07
1	 24 	 C 	 C 	 0.00016853564150972166 	 0.00016853564150972166
1	 3 	 CHN 	 CNH 	 0.009933616107529825 	 0.009933616107529825
1	 1 	 N2 	 N2 	 0.0003063652430202806 	 0.0003063652430202806
1	 15 	 CH3 	 CH3 	 1.1925522353875774e-06 	 1.1925522353875774e-06
1	 2 	 FLi 	 LiF 	 0.010500073882578119 	 0.010500073882578119
1	 14 	 N2O 	 N2O 	 2.93068159668995e-05 	 2.93068159668995e-05
