#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 1.815275482619116e-07 	 1.815275482619116e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 5.706590574964305e-07 	 5.706590574964305e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.006841932893779053 	 0.006841932893779053
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 6.395042941720413e-05 	 6.395042941720413e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 1.6384942121499358e-07 	 1.6384942121499358e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.0002756663313090864 	 0.0002756663313090864
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.00972161455820987 	 0.00972161455820987
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 5.0871512988488536e-06 	 5.0871512988488536e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.00205828561470739 	 0.00205828561470739
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 2.2732748525293106e-06 	 2.2732748525293106e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 2.5465611142548712e-05 	 2.5465611142548712e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0005962135585729366 	 0.0005962135585729366
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 5.7839422961058265e-06 	 5.7839422961058265e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 1.051364837997669e-08 	 1.051364837997669e-08
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.0006176841318464869 	 0.0006176841318464869
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 2.1112291184865626e-06 	 2.1112291184865626e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0012269818693467747 	 0.0012269818693467747
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.00048577941069405855 	 0.00048577941069405855
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.0003154873982179387 	 0.0003154873982179387
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.018152896396480322 	 0.018152896396480322
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 4.988791790604036e-05 	 4.988791790604036e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 3.699979268506794e-07 	 3.699979268506794e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 9.431527881035576e-05 	 9.431527881035576e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
