#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 11 	 NO2 	 NO2 	 5.121505594138124e-05 	 5.121505594138124e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 7 	 CO 	 OC 	 0.0012267937148547918 	 0.0012267937148547918
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 6 	 C2H2 	 C2H2 	 0.0006181900727572646 	 0.0006181900727572646
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 24 	 C 	 C 	 1.6481085341278118e-07 	 1.6481085341278118e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 14 	 N2O 	 N2O 	 6.394680598348299e-05 	 6.394680598348299e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 1 	 N2 	 N2 	 9.266904368866189e-05 	 9.266904368866189e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 25 	 Li 	 Li 	 1.9524978898311475e-06 	 1.9524978898311475e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 13 	 O3 	 O3 	 6.496458923259826e-05 	 6.496458923259826e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 10 	 NO 	 NO 	 4.991300601918888e-05 	 4.991300601918888e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 0 	 H2 	 H2 	 2.7614083668753505e-07 	 2.7614083668753505e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 8 	 HLi 	 LiH 	 2.0045173019336984e-06 	 2.0045173019336984e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 2 	 FLi 	 LiF 	 0.009726293794213511 	 0.009726293794213511
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 17 	 H2O 	 OH2 	 0.00027611546533689506 	 0.00027611546533689506
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 22 	 CH4O 	 CH4O 	 2.546561114226186e-05 	 2.546561114226186e-05
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 9 	 Na2 	 Na2 	 3.7018532498412225e-07 	 3.7018532498412225e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 23 	 HF2 	 HF2 	 0.00048577941070658705 	 0.00048577941070658705
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 18 	 H3N 	 NH3 	 0.00021285987980831605 	 0.00021285987980831605
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 21 	 HN2O 	 HON2 	 0.0005962135585701607 	 0.0005962135585701607
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 16 	 CH2 	 CH2 	 0.0020577541619375282 	 0.0020577541619375282
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 20 	 CH 	 CH 	 9.781870291117736e-09 	 9.781870291117736e-09
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 12 	 HN 	 NH 	 0.0003154706186608974 	 0.0003154706186608974
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 15 	 CH3 	 CH3 	 5.091217147581543e-06 	 5.091217147581543e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 5 	 F2 	 F2 	 5.748722535475357e-07 	 5.748722535475357e-07
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 19 	 HO 	 OH 	 5.752139879711346e-06 	 5.752139879711346e-06
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 3 	 CHN 	 CNH 	 0.006841308896174741 	 0.006841308896174741
#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
0	 4 	 CO2 	 CO2 	 0.018155040048212872 	 0.018155040048212872
1	 14 	 N2O 	 N2O 	 6.359167001925406e-05 	 6.359167001925406e-05
1	 4 	 CO2 	 CO2 	 0.018255514792066115 	 0.018255514792066115
1	 10 	 NO 	 NO 	 4.991222596975052e-05 	 4.991222596975052e-05
1	 0 	 H2 	 H2 	 1.5613677586133605e-07 	 1.5613677586133605e-07
1	 16 	 CH2 	 CH2 	 0.002068495720247191 	 0.002068495720247191
1	 15 	 CH3 	 CH3 	 4.55052710972525e-06 	 4.55052710972525e-06
1	 7 	 CO 	 OC 	 0.001212071816332709 	 0.001212071816332709
1	 21 	 HN2O 	 HON2 	 0.000629704990775433 	 0.000629704990775433
1	 25 	 Li 	 Li 	 2.083940385323058e-06 	 2.083940385323058e-06
